"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, English Learner Status (EL)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","English Learner Status (EL)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Enfield School District","=""0490011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","N",20,20,100.0,20,"*","*",8,40.0,6,30.0,"*","*","*","*","*","*",223
"Fairfield School District","=""0510011""","N",761,744,97.8,744,9,1.2,27,3.6,178,23.9,225,30.2,305,41.0,530,71.2,285
"Fairfield School District","=""0510011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","N",292,288,98.6,288,"*","*","*","*","*","*","*","*","*","*","*","*",295
"Farmington School District","=""0520011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","N",476,472,99.2,472,"*","*","*","*","*","*","*","*","*","*","*","*",295
"Glastonbury School District","=""0540011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","N",169,167,98.8,166,"*","*","*","*","*","*","*","*","*","*","*","*",300
"Granby School District","=""0560011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","N",580,574,99.0,574,14,2.4,16,2.8,114,19.9,133,23.2,297,51.7,430,74.9,295
"Greenwich School District","=""0570011""","Y",27,26,96.3,25,"*","*",7,28.0,8,32.0,"*","*","*","*","*","*",238
"Griswold School District","=""0580011""","N",150,148,98.7,147,12,8.2,21,14.3,50,34.0,38,25.9,26,17.7,64,43.5,253
"Groton School District","=""0590011""","N",254,234,92.1,234,"*","*","*","*","*","*","*","*","*","*","*","*",262
"Groton School District","=""0590011""","Y",8,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","=""0600011""","N",290,289,99.7,289,"*","*","*","*",64,22.1,79,27.3,133,46.0,212,73.4,290
"Hamden School District","=""0620011""","N",408,381,93.4,378,"*","*","*","*","*","*","*","*","*","*","*","*",247
"Hamden School District","=""0620011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","N",1085,977,90.0,967,213,22.0,226,23.4,291,30.1,121,12.5,116,12.0,237,24.5,230
"Hartford School District","=""0640011""","Y",235,198,84.3,194,148,76.3,33,17.0,13,6.7,0,0.0,0,0.0,0,0.0,177
"Highville Charter School District","=""2860013""","N",20,20,100.0,20,7,35.0,7,35.0,6,30.0,0,0.0,0,0.0,0,0.0,198
"Jumoke Academy District","=""2610013""","N",14,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","N",194,180,92.8,180,"*","*","*","*","*","*","*","*","*","*","*","*",242
"Killingly School District","=""0690011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","N",165,162,98.2,161,33,20.5,28,17.4,40,24.8,22,13.7,38,23.6,60,37.3,246
"Learn","=""2450014""","Y",11,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","N",94,93,98.9,93,"*","*","*","*","*","*","*","*","*","*","*","*",265
"Lebanon School District","=""0710011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""","N",193,188,97.4,188,"*","*","*","*",53,28.2,41,21.8,76,40.4,117,62.2,281
"Litchfield School District","=""0740011""","N",63,63,100.0,63,"*","*","*","*",18,28.6,18,28.6,24,38.1,42,66.7,286
"Madison School District","=""0760011""","N",295,286,96.9,286,"*","*","*","*",60,21.0,84,29.4,121,42.3,205,71.7,285
"Manchester School District","=""0770011""","N",369,353,95.7,353,"*","*","*","*","*","*","*","*","*","*","*","*",234
"Manchester School District","=""0770011""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","N",525,497,94.7,490,142,29.0,130,26.5,151,30.8,39,8.0,28,5.7,67,13.7,216
"Meriden School District","=""0800011""","Y",61,54,88.5,54,33,61.1,18,33.3,"*","*","*","*",0,0.0,"*","*",184
"Middletown School District","=""0830011""","N",306,301,98.4,301,46,15.3,47,15.6,106,35.2,47,15.6,55,18.3,102,33.9,245
"Middletown School District","=""0830011""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","N",444,436,98.2,433,23,5.3,48,11.1,176,40.6,102,23.6,84,19.4,186,43.0,259
