"FTE Staffing Report for 2013-14"

"District","School","Assignment Category","Educator Type","FTE Count"
,="Humiston School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Norton School",="Special Education - Teachers and Instructors",="Certified",4.6
="Chester School District",="Chester Elementary School",="Special Education - Teachers and Instructors",="Certified",3.8
="Clinton School District",="Abraham Pierson School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Jared Eliot School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Lewin G. Joel Jr. School",="Special Education - Teachers and Instructors",="Certified",8.0
,="The Morgan School",="Special Education - Teachers and Instructors",="Certified",8.0
="Colchester School District",="Bacon Academy",="Special Education - Teachers and Instructors",="Certified",7.0
,="Colchester Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Jack Jackter Intermediate School",="Special Education - Teachers and Instructors",="Certified",5.0
,="William J. Johnston Middle School",="Special Education - Teachers and Instructors",="Certified",5.0
="Colebrook School District",="Colebrook Consolidated School",="Special Education - Teachers and Instructors",="Certified",1.0
="Columbia School District",="Horace W. Porter School",="Special Education - Teachers and Instructors",="Certified",6.0
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Special Education - Teachers and Instructors",="Certified",7.6
,="Bullard-Havens Technical High School",="Special Education - Teachers and Instructors",="Certified",3.0
,="E. C. Goodwin Technical High School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Eli Whitney Technical High School",="Special Education - Teachers and Instructors",="Certified",3.7
,="Ella T. Grasso Southeastern Technical High School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Emmett O'Brien Technical High School",="Special Education - Teachers and Instructors",="Certified",3.7
,="H. C. Wilcox Technical High School",="Special Education - Teachers and Instructors",="Certified",3.7
,="H. H. Ellis Technical High School",="Special Education - Teachers and Instructors",="Certified",4.7
,="Henry Abbott Technical High School",="Special Education - Teachers and Instructors",="Certified",4.7
,="Howell Cheney Technical High School",="Special Education - Teachers and Instructors",="Certified",2.7
,="Norwich Technical High School",="Special Education - Teachers and Instructors",="Certified",3.7
,="Oliver Wolcott Technical High School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Platt Technical High School",="Special Education - Teachers and Instructors",="Certified",3.7
,="Vinal Technical High School",="Special Education - Teachers and Instructors",="Certified",7.7
,="W. F. Kaynor Technical High School",="Special Education - Teachers and Instructors",="Certified",1.7
,="Windham Technical High School",="Special Education - Teachers and Instructors",="Certified",3.0
="Cooperative Educational Services",="C. E. S. Special Education",="Special Education - Teachers and Instructors",="Certified",51.8
,="Developmental Learning Center (DLC)",="Special Education - Teachers and Instructors",="Certified",2.0
,="Preschool-Primary Learning Center (PLC)",="Special Education - Teachers and Instructors",="Certified",3.0
,="RISE Transitional Program",="Special Education - Teachers and Instructors",="Certified",1.0
,="Six-Six Magnet School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Therapeutic Day Program",="Special Education - Teachers and Instructors",="Certified",7.0
="Cornwall School District",="Cornwall Consolidated School",="Special Education - Teachers and Instructors",="Certified",1.0
="Coventry School District",="Capt. Nathan Hale School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Coventry Early Intervention Services",="Special Education - Teachers and Instructors",="Certified",3.9
,="Coventry Grammar School",="Special Education - Teachers and Instructors",="Certified",3.4
,="Coventry High School",="Special Education - Teachers and Instructors",="Certified",5.9
,="George Hersey Robertson School",="Special Education - Teachers and Instructors",="Certified",4.7
="Cromwell School District",="Cromwell High School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Cromwell Middle School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Edna C. Stevens School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Woodside Intermediate School",="Special Education - Teachers and Instructors",="Certified",5.0
="Danbury School District",="Alternative Center For Excellence",="Special Education - Teachers and Instructors",="Certified",1.0
,="Broadview Middle School",="Special Education - Teachers and Instructors",="Certified",12.2
,="DPS Early Childhood Center",="Special Education - Teachers and Instructors",="Certified",4.0
,="Danbury High School",="Special Education - Teachers and Instructors",="Certified",21.8
,="Ellsworth Avenue School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Great Plain School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Hayestown Avenue School",="Special Education - Teachers and Instructors",="Certified",7.0
,="King Street Intermediate School",="Special Education - Teachers and Instructors",="Certified",2.0
,="King Street Primary School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Mill Ridge Primary School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Morris Street School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Park Avenue School",="Special Education - Teachers and Instructors",="Certified",2.0
