"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
="Bristol School District",="Alternative Special Education Program (ASEP)",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,5.0
,="Bristol Central High School",="Special Education - Teachers and Instructors",="Certified",13.1,11.6,12.6,11.6,12.6
,="Bristol Eastern High School",="Special Education - Teachers and Instructors",="Certified",9.1,10.6,10.6,9.6,11.1
,="Chippens Hill Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,8.0,9.0,8.0
,="Clara T. O'Connell School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,.,.,.
,"Community/Vocational Program","Special Education - Teachers and Instructors","Certified",1.0,1.0,1.0,1.0,1.0
,="Edgewood School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.5,1.5,2.0
,="Ellen P. Hubbell School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,4.0,4.0,4.0
,="Greene-Hills School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,5.0,6.0,8.0
,="Ivy Drive School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,4.0
,="John J. Jennings School",="Special Education - Teachers and Instructors",="Certified",2.5,2.5,.,.,.
,"Memorial Boulevard Middle School","Special Education - Teachers and Instructors","Certified",4.0,4.0,.,.,.
,"Mountain View School","Special Education - Teachers and Instructors","Certified",3.0,3.0,3.0,3.0,3.0
,="Northeast Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.0,4.5
,="South Side School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,5.0,5.0,4.0
,="Stafford School",="Special Education - Teachers and Instructors",="Certified",8.5,8.0,8.0,7.0,6.0
,="West Bristol School",="Special Education - Teachers and Instructors",="Certified",.,.,4.0,5.0,5.0
,="Bristol Early Childhood Center-BECC",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,5.0
="Brookfield School District",="Brookfield High School",="Special Education - Teachers and Instructors",="Certified",5.6,5.9,6.3,7.1,8.3
,="Center Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.9,3.9,3.9,3.4
,="Huckleberry Hill Elementary School",="Special Education - Teachers and Instructors",="Certified",4.6,4.9,4.9,5.9,4.6
,="Whisconier Middle School",="Special Education - Teachers and Instructors",="Certified",5.6,5.9,5.9,5.9,5.6
="Brooklyn School District",="Brooklyn Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.2,3.2,3.0,4.0
,="Brooklyn Middle School",="Special Education - Teachers and Instructors",="Certified",3.0,4.8,4.8,4.0,3.0
="Canaan School District",="Lee H. Kellogg School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
="Canterbury School District",="Canterbury Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Dr. Helen Baldwin Middle School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
="Canton School District",="Canton High School",="Special Education - Teachers and Instructors",="Certified",6.2,7.2,5.2,6.0,5.0
,="Canton Intermediate School",="Special Education - Teachers and Instructors",="Certified",4.0,4.6,4.6,4.6,4.0
,="Canton Middle School",="Special Education - Teachers and Instructors",="Certified",0.8,0.8,1.8,1.0,3.0
,="Cherry Brook Primary School",="Special Education - Teachers and Instructors",="Certified",4.4,4.0,4.0,4.0,4.0
="Capitol Region Education Council",="Farmington Valley Regional Diagnostic Center",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,2.0,2.0
,="Glastonbury/East Hartford Magnet School",="Special Education - Teachers and Instructors",="Certified",1.0,.,2.0,2.0,1.0
,="Great Path Academy at MCC",="Special Education - Teachers and Instructors",="Certified",1.5,2.1,.,.,.
,"Greater Hartford Academy of Math and Science","Special Education - Teachers and Instructors","Certified",1.0,.,.,.,1.0
,="Integrated Program Models",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,1.0,2.0,2.0
,="International Magnet School for Global Citizenship",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,3.0,4.0,3.0
,="John J. Allison Polaris Center",="Special Education - Teachers and Instructors",="Certified",15.0,15.0,12.0,11.0,10.0
,="Lincoln Academy Regional Interdistrict Collaborative",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,2.0,1.0,.
,"Medical Professions and Teacher Preparation Academy","Special Education - Teachers and Instructors","Certified",1.0,1.0,2.0,2.5,3.0
,="Metropolitan Learning Center for Global and International Studies",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.5,4.0,4.5
,="Montessori Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0,1.0,3.0,3.5,4.0
,="Public Safety Academy",="Special Education - Teachers and Instructors",="Certified",2.0,1.0,5.0,5.0,7.0
,="Reggio Magnet School of the Arts",="Special Education - Teachers and Instructors",="Certified",1.0,2.0,3.0,3.5,2.0
,="River Street Early Learning Center (Site 2)",="Special Education - Teachers and Instructors",="Certified",9.3,8.3,9.4,7.4,1.0
,="River Street School",="Special Education - Teachers and Instructors",="Certified",29.4,30.4,32.3,34.3,42.5
,="Soundbridge",="Special Education - Teachers and Instructors",="Certified",21.0,20.0,22.6,21.6,18.6
,="Two Rivers Magnet Middle School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.0,7.0,7.0
,="University of Hartford Magnet School",="Special Education - Teachers and Instructors",="Certified",5.0,5.9,7.0,6.5,7.0
,="Academy of Aerospace and Engineering",="Special Education - Teachers and Instructors",="Certified",.,1.5,3.0,6.0,5.0
,="Discovery Academy",="Special Education - Teachers and Instructors",="Certified",.,1.0,2.0,2.0,2.0
,="Greater Hartford Academy of the Arts High School - Full Time",="Special Education - Teachers and Instructors",="Certified",.,1.5,3.0,3.0,3.0
,="Museum Academy",="Special Education - Teachers and Instructors",="Certified",.,1.0,2.0,3.0,3.0
,="Greater Hartford Academy of the Arts Magnet Middle",="Special Education - Teachers and Instructors",="Certified",.,.,2.0,3.0,3.0
,="Two Rivers Magnet High School",="Special Education - Teachers and Instructors",="Certified",.,.,3.0,2.0,3.0
,="Ana Grace Academy of the Arts Elementary School",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,1.0
,="STRIVE (Southern Transition Real-World and Independent Vocational Education Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,1.0
,="Academy of Aerospace & Engineering - Site 2",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="Academy of Aerospace and Engineering Elementary",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.5
,="Soundbridge @ Museum Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Chaplin School District",="Chaplin Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,1.5,2.0,2.0
="Charter School for Young Children on Asylum Hill District",="Charter School for Young Children on Asylum Hill Inc.",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,.,.,.
"Cheshire School District","Chapman School","Special Education - Teachers and Instructors","Certified",2.0,2.0,2.0,2.0,2.0
,="Cheshire High School",="Special Education - Teachers and Instructors",="Certified",13.0,13.0,12.9,13.4,12.7
,="Darcey School",="Special Education - Teachers and Instructors",="Certified",6.6,6.8,5.8,5.8,6.1
,="Dodd Middle School",="Special Education - Teachers and Instructors",="Certified",8.2,8.0,7.9,7.9,8.6
,="Doolittle School",="Special Education - Teachers and Instructors",="Certified",3.7,3.7,3.7,3.7,3.7
,="Highland School",="Special Education - Teachers and Instructors",="Certified",7.1,7.0,7.0,7.0,7.7
,="Humiston School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Norton School",="Special Education - Teachers and Instructors",="Certified",3.6,3.5,3.6,4.6,4.6
,="Cheshire Quinnipiac University Transition Collaborative",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Chester School District",="Chester Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.5,3.8,3.8
="Clinton School District",="Abraham Pierson School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Jared Eliot School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.0,6.0
,="Lewin G. Joel Jr. School",="Special Education - Teachers and Instructors",="Certified",8.0,9.0,8.0,8.0,9.0
,="The Morgan School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,8.0,8.0,8.0
="Colchester School District",="Bacon Academy",="Special Education - Teachers and Instructors",="Certified",9.0,9.0,8.0,7.0,9.0
,="Colchester Elementary School",="Special Education - Teachers and Instructors",="Certified",6.5,6.6,6.3,5.0,5.0
,="Jack Jackter Intermediate School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,5.0
,="William J. Johnston Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,5.0,4.0
="Colebrook School District",="Colebrook Consolidated School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,.,1.0,1.0
="Columbia School District",="Horace W. Porter School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,6.0,6.0
="Common Ground High School District",="Common Ground High School",="Special Education - Teachers and Instructors",="Certified",1.0,1.5,.,.,1.0
="Connecticut Technical High School System",="A. I. Prince Technical High School",="Special Education - Teachers and Instructors",="Certified",5.0,6.0,6.0,7.6,3.6
,="Bullard-Havens Technical High School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,3.0,3.0,2.7
,="E. C. Goodwin Technical High School",="Special Education - Teachers and Instructors",="Certified",4.7,4.7,4.7,3.0,4.7
,="Eli Whitney Technical High School",="Special Education - Teachers and Instructors",="Certified",3.7,2.7,2.7,3.7,3.7
,="Ella T. Grasso Southeastern Technical High School",="Special Education - Teachers and Instructors",="Certified",3.7,3.7,5.7,4.0,4.7
,="Emmett O'Brien Technical High School",="Special Education - Teachers and Instructors",="Certified",3.7,3.7,3.7,3.7,3.7
,="H. C. Wilcox Technical High School",="Special Education - Teachers and Instructors",="Certified",3.0,3.7,3.7,3.7,3.7
,="H. H. Ellis Technical High School",="Special Education - Teachers and Instructors",="Certified",2.7,2.7,2.7,4.7,3.7
,="Henry Abbott Technical High School",="Special Education - Teachers and Instructors",="Certified",6.7,4.7,5.7,4.7,5.7
,="Howell Cheney Technical High School",="Special Education - Teachers and Instructors",="Certified",3.7,2.7,2.7,2.7,3.7
,="Norwich Technical High School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,3.7,3.7
,="Oliver Wolcott Technical High School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,4.7
,="Platt Technical High School",="Special Education - Teachers and Instructors",="Certified",1.7,2.7,2.7,3.7,3.7
,="Vinal Technical High School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,6.0,7.7,9.7
,="W. F. Kaynor Technical High School",="Special Education - Teachers and Instructors",="Certified",1.7,1.7,1.7,1.7,1.7
,="Windham Technical High School",="Special Education - Teachers and Instructors",="Certified",4.0,2.0,2.0,3.0,3.7
="Cooperative Educational Services",="C. E. S. Special Education",="Special Education - Teachers and Instructors",="Certified",60.0,61.8,56.8,51.8,11.0
,="Six-Six Magnet School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,3.0,4.0
,="Developmental Learning Center (DLC)",="Special Education - Teachers and Instructors",="Certified",.,.,1.0,2.0,4.0
,="Preschool-Primary Learning Center (PLC)",="Special Education - Teachers and Instructors",="Certified",.,.,2.0,3.0,10.0
,="Therapeutic Day Program",="Special Education - Teachers and Instructors",="Certified",.,.,5.0,7.0,17.0
,="RISE Transitional Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,.
"Cornwall School District","Cornwall Consolidated School","Special Education - Teachers and Instructors","Certified",1.0,1.0,1.0,1.0,1.0
="Coventry School District",="Capt. Nathan Hale School",="Special Education - Teachers and Instructors",="Certified",5.5,4.5,5.5,5.0,4.4
,="Coventry Early Intervention Services",="Special Education - Teachers and Instructors",="Certified",1.5,3.0,4.0,3.9,3.4
,="Coventry Grammar School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.4,3.6
,="Coventry High School",="Special Education - Teachers and Instructors",="Certified",5.0,6.0,6.0,5.9,5.0
,="George Hersey Robertson School",="Special Education - Teachers and Instructors",="Certified",4.5,4.5,4.5,4.7,4.6
,="Coventry Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Cromwell School District",="Cromwell High School",="Special Education - Teachers and Instructors",="Certified",5.5,4.5,4.5,6.0,7.0
,="Cromwell Middle School",="Special Education - Teachers and Instructors",="Certified",7.0,6.0,6.0,6.0,6.0
,="Edna C. Stevens School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,5.0,5.0,6.0
,="Woodside Intermediate School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,5.0,5.0,5.0
