"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
"Litchfield School District","Center School","Special Education - Teachers and Instructors","Certified",2.0,3.0,3.0,3.0,4.0
,="Litchfield High School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,5.0,4.0
,="Litchfield Intermediate School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
="Madison School District",="Daniel Hand High School",="Special Education - Teachers and Instructors",="Certified",10.6,10.6,10.6,9.6,9.6
,="Dr. Robert H. Brown Middle School",="Special Education - Teachers and Instructors",="Certified",6.3,6.3,6.3,6.3,6.3
,="Island Avenue Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,2.0,2.5
,="J. Milton Jeffrey Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,4.5,3.0,3.5
,="Kathleen H. Ryerson Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,5.0,6.0
,="Town Campus Learning Center",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.5,3.0,3.0
,="Walter C. Polson Upper Middle School",="Special Education - Teachers and Instructors",="Certified",6.3,6.3,6.3,6.3,6.3
="Manchester School District",="Nathan Hale School",="Special Education - Teachers and Instructors",="Certified",2.0,6.0,.,.,.
,"Bowers School","Special Education - Teachers and Instructors","Certified",3.0,2.0,3.0,3.0,3.0
,="Buckley School",="Special Education - Teachers and Instructors",="Certified",6.1,2.0,5.0,6.0,6.5
,="Elisabeth M. Bennet Academy",="Special Education - Teachers and Instructors",="Certified",5.2,7.0,4.0,5.0,4.0
,="Highland Park School",="Special Education - Teachers and Instructors",="Certified",1.0,.,1.0,1.0,1.0
,="Illing Middle School",="Special Education - Teachers and Instructors",="Certified",6.3,7.3,9.3,9.0,9.0
,="Keeney School",="Special Education - Teachers and Instructors",="Certified",4.3,3.0,2.0,2.0,3.0
,="Manchester High School",="Special Education - Teachers and Instructors",="Certified",14.5,16.3,15.3,14.0,16.0
,="Manchester Preschool Center",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,1.0
,="Manchester Regional Academy",="Special Education - Teachers and Instructors",="Certified",11.0,11.5,11.5,10.0,11.0
,="Martin School",="Special Education - Teachers and Instructors",="Certified",1.5,2.0,1.5,1.0,1.0
,="Robertson School",="Special Education - Teachers and Instructors",="Certified",2.5,3.0,3.0,2.0,3.0
,="Verplanck School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,2.0,2.0,2.0
,="Waddell School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Washington School",="Special Education - Teachers and Instructors",="Certified",1.5,2.0,2.5,2.0,2.0
,="Manchester Transition Center",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,.
,"Bentley Alternative Education Program","Special Education - Teachers and Instructors","Certified",.,.,.,.,1.0
="Mansfield School District",="Annie E. Vinton School",="Special Education - Teachers and Instructors",="Certified",1.0,1.5,1.5,1.5,2.5
,="Dorothy C. Goodwin School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="Mansfield Middle School School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.0,7.0,7.0
,="Southeast Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
="Marlborough School District",="Elmer Thienes-Mary Hall Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,4.6,4.6,4.0
="Meriden School District",="Nathan Hale School",="Special Education - Teachers and Instructors",="Certified",4.3,4.3,4.3,4.2,5.3
,="Benjamin Franklin School",="Special Education - Teachers and Instructors",="Certified",9.1,9.1,11.1,8.0,6.1
,="Casimir Pulaski School",="Special Education - Teachers and Instructors",="Certified",7.2,8.2,5.2,5.1,5.2
,="Francis T. Maloney High School",="Special Education - Teachers and Instructors",="Certified",12.8,12.1,12.3,13.0,11.9
,="Hanover School",="Special Education - Teachers and Instructors",="Certified",8.2,8.2,6.2,7.1,8.2
,="Israel Putnam School",="Special Education - Teachers and Instructors",="Certified",4.1,4.1,4.1,4.0,4.1
,="John Barry School",="Special Education - Teachers and Instructors",="Certified",5.1,4.1,4.1,4.0,2.1
,="Lincoln Middle School",="Special Education - Teachers and Instructors",="Certified",10.7,9.6,9.6,9.3,7.9
,="Orville H. Platt High School",="Special Education - Teachers and Instructors",="Certified",13.1,12.7,12.7,13.5,12.5
,="Roger Sherman School",="Special Education - Teachers and Instructors",="Certified",3.1,3.1,5.1,8.0,9.1
,="Thomas Hooker School",="Special Education - Teachers and Instructors",="Certified",3.1,3.1,3.1,3.0,3.1
,="Washington Middle School",="Special Education - Teachers and Instructors",="Certified",12.6,12.5,12.5,11.2,12.8
="Middletown School District",="Bielefield School",="Special Education - Teachers and Instructors",="Certified",4.0,2.5,2.0,2.0,2.0
,="Farm Hill School",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,4.0,3.0,5.0
,="Keigwin Middle School",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,2.0,3.0,3.0
,="Lawrence School",="Special Education - Teachers and Instructors",="Certified",2.2,2.2,2.2,3.0,2.0
,="MacDonough School",="Special Education - Teachers and Instructors",="Certified",2.2,2.2,2.2,2.2,2.0
,="Middletown High School",="Special Education - Teachers and Instructors",="Certified",13.0,13.0,13.0,10.0,12.0
,="Moody School",="Special Education - Teachers and Instructors",="Certified",2.2,1.2,1.6,2.6,1.4
,="Snow School",="Special Education - Teachers and Instructors",="Certified",8.2,7.2,8.2,7.2,8.0
,="Spencer School",="Special Education - Teachers and Instructors",="Certified",3.2,3.2,3.2,2.4,2.0
,="Wesley School",="Special Education - Teachers and Instructors",="Certified",3.0,2.5,3.0,3.0,2.0
,="Woodrow Wilson Middle School",="Special Education - Teachers and Instructors",="Certified",7.2,6.2,7.2,8.2,8.0
,="Transition to Life Center",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,.
,"ICM - Macdonough","Special Education - Teachers and Instructors","Certified",.,.,.,.,1.0
="Milford School District",="Calf Pen Meadow School",="Special Education - Teachers and Instructors",="Certified",2.5,2.0,3.0,2.5,2.5
,="East Shore Middle School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.0,6.0,7.0
,="Harborside Middle School",="Special Education - Teachers and Instructors",="Certified",6.2,6.0,7.0,7.0,7.0
,="J. F. Kennedy School",="Special Education - Teachers and Instructors",="Certified",2.0,3.0,2.0,3.0,3.0
,="Jonathan Law High School",="Special Education - Teachers and Instructors",="Certified",13.3,13.5,12.3,11.3,12.3
,="Joseph A. Foran High School",="Special Education - Teachers and Instructors",="Certified",9.9,9.7,9.7,8.7,9.7
,="Live Oaks School",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,4.0,4.0,4.0
,="Mathewson School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,5.0,3.5,4.0
,="Meadowside School",="Special Education - Teachers and Instructors",="Certified",6.0,5.5,6.2,7.0,6.5
,="Orange Avenue School",="Special Education - Teachers and Instructors",="Certified",15.5,13.0,11.7,11.2,10.5
,="Orchard Hills School",="Special Education - Teachers and Instructors",="Certified",7.0,8.0,5.6,4.8,5.0
,="Pumpkin Delight School",="Special Education - Teachers and Instructors",="Certified",5.0,4.5,4.0,4.0,3.5
,="The Academy",="Special Education - Teachers and Instructors",="Certified",3.4,3.4,.,.,5.4
,="West Shore Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,10.0,8.0,6.0
="Monroe School District",="Chalk Hill School",="Special Education - Teachers and Instructors",="Certified",3.0,.,.,.,.
,"Fawn Hollow Elementary School","Special Education - Teachers and Instructors","Certified",5.3,5.3,5.3,5.3,4.3
,="Jockey Hollow School",="Special Education - Teachers and Instructors",="Certified",6.0,9.5,8.5,8.0,7.0
,="Masuk High School",="Special Education - Teachers and Instructors",="Certified",10.6,10.6,11.6,9.5,10.5
,="Monroe Elementary School",="Special Education - Teachers and Instructors",="Certified",4.7,5.0,5.0,5.0,5.0
,="Stepney Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.5,4.0,4.5,4.5
,="Jockey Hollow STEM Program",="Special Education - Teachers and Instructors",="Certified",.,1.0,1.0,.,1.0
="Montville School District",="Dr. Charles E. Murphy School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Leonard J. Tyl Middle School",="Special Education - Teachers and Instructors",="Certified",9.0,8.0,8.0,8.0,8.0
,="Mohegan School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.5
,="Montville High School",="Special Education - Teachers and Instructors",="Certified",7.2,7.1,6.7,6.7,6.0
,="Oakdale School",="Special Education - Teachers and Instructors",="Certified",7.0,7.1,5.5,6.5,6.0
,="Palmer Academy",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
="Naugatuck School District",="Andrew Avenue School",="Special Education - Teachers and Instructors",="Certified",0.9,0.5,1.1,1.1,2.0
,="Central Avenue Preschool",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,2.0
,="Central Avenue School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,.,.,1.0
,="City Hill Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,8.1,8.0,8.0,6.0
,="Cross Street Intermediate School",="Special Education - Teachers and Instructors",="Certified",4.0,3.5,3.0,3.0,4.0
,="Hillside Intermediate School",="Special Education - Teachers and Instructors",="Certified",2.0,2.2,2.0,2.0,2.0
,="Hop Brook Elementary School",="Special Education - Teachers and Instructors",="Certified",1.0,2.0,2.0,1.0,2.0
,="Maple Hill School",="Special Education - Teachers and Instructors",="Certified",4.0,4.1,4.0,5.0,7.5
,="Naugatuck High School",="Special Education - Teachers and Instructors",="Certified",13.0,13.7,13.7,13.7,14.0
,="Salem School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Western School",="Special Education - Teachers and Instructors",="Certified",2.0,1.0,1.0,2.0,1.0
="New Beginnings Inc Family Academy District",="New Beginnings Inc., Family Academy",="Special Education - Teachers and Instructors",="Certified",1.0,.,.,2.0,2.0
="New Britain School District",="Chamberlain Elementary School",="Special Education - Teachers and Instructors",="Certified",9.0,9.0,10.0,9.0,7.0
,="Frank J. DiLoreto School",="Special Education - Teachers and Instructors",="Certified",3.8,3.8,3.8,3.0,1.0
,="Gaffney School",="Special Education - Teachers and Instructors",="Certified",13.0,13.0,13.0,12.0,11.0
,="Holmes School",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,4.0,3.6,2.0
,="Jefferson School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,3.0,3.0
,="Lincoln School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,4.0,6.0
,="New Britain High School",="Special Education - Teachers and Instructors",="Certified",32.0,32.0,28.0,22.9,24.0
,="Northend School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,.,1.4,.
,"Pulaski Middle School","Special Education - Teachers and Instructors","Certified",15.0,8.0,9.0,8.0,9.5
,="Roosevelt Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,4.0,3.0,.
,"Slade Middle School","Special Education - Teachers and Instructors","Certified",10.0,8.0,12.0,9.0,10.5
,="Smalley Academy",="Special Education - Teachers and Instructors",="Certified",6.0,7.5,6.0,5.0,4.0
,="Smith School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,9.0,8.0,6.0
,="Vance School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,5.0,3.0,3.0
,="Alternative Center School",="Special Education - Teachers and Instructors",="Certified",.,2.0,1.0,2.0,2.0
,="New Britain Transition Center",="Special Education - Teachers and Instructors",="Certified",.,5.0,5.0,4.0,5.0
,="CLIMB",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,.
,"Satellite Careers Academy","Special Education - Teachers and Instructors","Certified",.,.,.,.,0.5
="New Canaan School District",="East School",="Special Education - Teachers and Instructors",="Certified",3.5,4.0,4.0,3.0,4.2
,="New Canaan High School",="Special Education - Teachers and Instructors",="Certified",9.0,9.0,10.0,10.0,10.2
,="Saxe Middle School",="Special Education - Teachers and Instructors",="Certified",10.0,10.6,10.6,11.6,11.8
,="South School",="Special Education - Teachers and Instructors",="Certified",5.0,4.5,3.5,3.5,4.2
,="West School",="Special Education - Teachers and Instructors",="Certified",6.8,7.8,6.8,6.8,8.0
="New Fairfield School District",="Consolidated School",="Special Education - Teachers and Instructors",="Certified",9.5,9.0,9.2,8.2,7.0
,="Meeting House Hill School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,5.0,5.0
,="New Fairfield High School",="Special Education - Teachers and Instructors",="Certified",7.5,7.5,6.0,6.0,6.0
,="New Fairfield Middle School",="Special Education - Teachers and Instructors",="Certified",7.9,7.5,6.0,6.0,6.0
="New Hartford School District",="Ann Antolini School",="Special Education - Teachers and Instructors",="Certified",3.7,3.2,3.2,4.0,4.0
,="Bakerville Consolidated School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Bridges I",="Special Education - Teachers and Instructors",="Certified",0.8,.,.,.,.
,"New Hartford Elementary School","Special Education - Teachers and Instructors","Certified",2.0,1.6,1.6,1.0,0.8
="New Haven School District",="Edgewood School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.1
,="Nathan Hale School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,4.1,5.1,3.2
,="Augusta Lewis Troup School",="Special Education - Teachers and Instructors",="Certified",5.1,5.4,6.4,5.4,4.6
,="Barnard Environmental Magnet School",="Special Education - Teachers and Instructors",="Certified",4.2,3.2,3.2,3.2,3.0
,="Beecher School",="Special Education - Teachers and Instructors",="Certified",2.6,2.6,2.0,2.0,1.0
,="Benjamin Jepson Magnet School",="Special Education - Teachers and Instructors",="Certified",4.0,5.1,5.1,3.1,5.0
,="Betsy Ross Arts Magnet School",="Special Education - Teachers and Instructors",="Certified",4.2,3.0,4.0,3.0,3.0
,="Bishop Woods School",="Special Education - Teachers and Instructors",="Certified",5.1,5.0,5.0,6.0,5.2
,="Brennan Rogers School",="Special Education - Teachers and Instructors",="Certified",7.3,7.5,9.0,5.0,6.0
,="Celentano BioTech, Health and Medical Magnet School",="Special Education - Teachers and Instructors",="Certified",8.0,9.1,8.6,7.6,9.0
,="Clemente Leadership Academy",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,4.0,2.0,4.0
,="Clinton Avenue School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,5.0
,="Columbus Family Academy",="Special Education - Teachers and Instructors",="Certified",3.5,3.4,3.4,3.4,3.0
,="Conte/West Hills Magnet School",="Special Education - Teachers and Instructors",="Certified",4.1,3.0,3.0,3.0,3.2
,="Cooperative High School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,4.0,3.0,3.4
,="Cortlandt V.R. Creed Health and Sport Sciences High School",="Special Education - Teachers and Instructors",="Certified",2.0,3.0,3.0,3.0,3.0
,="Davis 21st Century Magnet Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.2
,="Domus Academy",="Special Education - Teachers and Instructors",="Certified",1.0,2.0,1.0,2.0,1.0
,="Early Learning Center",="Special Education - Teachers and Instructors",="Certified",1.1,1.0,1.0,1.0,0.8
,="East Rock Community Magnet School",="Special Education - Teachers and Instructors",="Certified",10.0,10.5,12.1,12.1,11.2
,="Engineering - Science University Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,1.0,3.0
,="Fair Haven School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.0,7.0,7.1
,="Headstart",="Special Education - Teachers and Instructors",="Certified",0.2,.,.,1.0,.
,"Helene Grant HeadStart","Special Education - Teachers and Instructors","Certified",6.0,5.0,4.9,5.9,5.3
,="High School In The Community",="Special Education - Teachers and Instructors",="Certified",2.1,4.2,4.0,4.0,4.0
,="Hill Central Music Academy",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.3
,="Hill Regional Career High School",="Special Education - Teachers and Instructors",="Certified",2.4,2.0,2.0,2.0,3.0
,="James Hillhouse High School",="Special Education - Teachers and Instructors",="Certified",8.2,9.3,9.1,8.1,7.0
,="John C. Daniels",="Special Education - Teachers and Instructors",="Certified",4.0,4.1,4.1,4.1,3.0
,="John S. Martinez School",="Special Education - Teachers and Instructors",="Certified",4.0,4.1,4.1,3.1,3.0
,="King/Robinson Magnet School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Lincoln-Bassett School",="Special Education - Teachers and Instructors",="Certified",3.0,5.0,5.0,4.0,4.0
,="Mauro-Sheridan Magnet School",="Special Education - Teachers and Instructors",="Certified",5.0,4.1,4.1,4.1,4.3
,="Metropolitan Business Academy",="Special Education - Teachers and Instructors",="Certified",2.4,2.4,2.4,2.4,2.0
,="New Haven Academy",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Polly T. McCabe Center",="Special Education - Teachers and Instructors",="Certified",1.6,1.6,1.6,0.6,.
,"Riverside Education Academy","Special Education - Teachers and Instructors","Certified",5.0,4.0,4.0,3.0,3.0
,="Ross/Woodward School",="Special Education - Teachers and Instructors",="Certified",3.3,3.3,3.3,3.3,3.4
,="Sound School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Strong 21st Century Communications Magnet and SCSU Lab School",="Special Education - Teachers and Instructors",="Certified",1.5,0.5,1.0,4.0,4.0
,="Truman School",="Special Education - Teachers and Instructors",="Certified",5.0,4.4,4.0,4.0,4.1
,="West Rock Authors Academy",="Special Education - Teachers and Instructors",="Certified",2.0,3.0,3.0,4.0,4.3
,="Wexler/Grant Community School",="Special Education - Teachers and Instructors",="Certified",4.1,4.0,4.0,3.0,4.0
,="Wilbur Cross High School",="Special Education - Teachers and Instructors",="Certified",16.5,18.9,17.5,17.5,14.4
,="Worthington Hooker School",="Special Education - Teachers and Instructors",="Certified",3.1,3.0,3.0,1.0,1.6
,="Quinnipiac Real World Math STEM School",="Special Education - Teachers and Instructors",="Certified",.,.,1.0,2.0,2.0
,="Other",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
,="BOE-Zigler Head Start",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.1
,="LULAC Head Start-Fay Miller",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.1
,="New Haven Adult Education",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="New Horizons High School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
,="New Light High School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="New London School District",="Jennings School",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,4.0,4.0,4.0
,="Bennie Dover Jackson Middle School",="Special Education - Teachers and Instructors",="Certified",8.6,7.5,5.7,8.0,7.0
,="Harbor School",="Special Education - Teachers and Instructors",="Certified",5.0,5.1,.,.,.
,"Nathan Hale Arts Magnet School","Special Education - Teachers and Instructors","Certified",4.0,3.1,3.0,6.0,7.0
,="New London High School",="Special Education - Teachers and Instructors",="Certified",11.8,12.1,9.8,10.0,10.4
,="Shoreline Academy",="Special Education - Teachers and Instructors",="Certified",1.0,.,.,.,.
,"Winthrop STEM Elementary Magnet School","Special Education - Teachers and Instructors","Certified",6.0,7.7,8.6,8.0,7.0
,="New London Clinical Day Program",="Special Education - Teachers and Instructors",="Certified",.,2.0,2.0,.,.
,"Harbor","Special Education - Teachers and Instructors","Certified",.,.,.,.,2.0
="New Milford School District",="Hill And Plain School",="Special Education - Teachers and Instructors",="Certified",5.5,5.5,5.5,6.5,6.0
,="John Pettibone School",="Special Education - Teachers and Instructors",="Certified",7.0,6.0,6.0,4.0,4.0
,="Litchfield Hills Transition Center",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="New Milford High School",="Special Education - Teachers and Instructors",="Certified",12.0,12.0,12.0,11.5,10.5
,="Northville Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,4.0,5.0
,="Sarah Noble Intermediate School",="Special Education - Teachers and Instructors",="Certified",13.0,13.0,12.0,13.0,15.0
,="Schaghticoke Middle School",="Special Education - Teachers and Instructors",="Certified",8.1,8.4,8.4,8.0,8.0
,="Faith Preparatory School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.2
="Newington School District",="Anna Reynolds School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.5
,="Elizabeth Green School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,4.0,4.0
,="John Paterson School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,4.0,3.0,3.5
,="John Wallace Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,5.0,5.0
,="Martin Kellogg Middle School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,5.0
,="Newington High School",="Special Education - Teachers and Instructors",="Certified",9.5,10.5,11.5,10.5,10.0
,="Ruth Chaffee School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
="Newtown School District",="Hawley Elementary School",="Special Education - Teachers and Instructors",="Certified",2.5,3.0,2.0,2.0,2.0
,="Head O'Meadow Elementary School",="Special Education - Teachers and Instructors",="Certified",1.5,1.5,2.0,2.0,2.0
,="Middle Gate Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,2.5,3.0,3.0,3.0
,="Newtown High School",="Special Education - Teachers and Instructors",="Certified",12.4,12.0,12.0,12.0,11.9
,="Newtown Middle School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,6.0
,="Newtown Preschool",="Special Education - Teachers and Instructors",="Certified",2.0,3.0,3.0,3.0,3.0
,="Reed Intermediate School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,5.0
,="Sandy Hook Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.0,3.0,3.0
,="STARR",="Special Education - Teachers and Instructors",="Certified",.,1.0,1.0,1.0,1.0
="Norfolk School District",="Botelle Elementary School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,2.0
,="Bridges II",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,.
,"IEP Program","Special Education - Teachers and Instructors","Certified",1.0,.,.,.,.
"North Branford School District","Jerome Harrison School","Special Education - Teachers and Instructors","Certified",5.0,5.0,5.0,4.5,4.5
,="North Branford High School",="Special Education - Teachers and Instructors",="Certified",8.2,7.5,8.0,9.0,7.0
,="North Branford Intermediate School",="Special Education - Teachers and Instructors",="Certified",7.5,7.0,7.0,6.3,6.0
,="Totoket Valley Elementary School",="Special Education - Teachers and Instructors",="Certified",6.0,6.2,6.0,6.0,5.0
,="School to Work Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,1.0
="North Canaan School District",="North Canaan Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
="North Haven School District",="Clintonville Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.0,3.0,3.0
,="Green Acres Elementary School",="Special Education - Teachers and Instructors",="Certified",8.0,7.0,7.0,5.0,6.0
,="Montowese Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.0,3.0,3.0
,="North Haven High School",="Special Education - Teachers and Instructors",="Certified",10.0,9.0,8.0,6.0,7.0
,="North Haven Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,7.0,5.0,5.0,6.0
,="Ridge Road Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,3.0,3.0,3.0
,="North Haven Transition Partnership",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="North Stonington School District",="North Stonington Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,4.8,5.0,5.0
,="Wheeler High School",="Special Education - Teachers and Instructors",="Certified",4.0,1.8,1.3,1.6,1.6
,="Wheeler Middle School",="Special Education - Teachers and Instructors",="Certified",3.0,2.2,2.9,2.4,2.4
="Norwalk School District",="Brien McMahon High School",="Special Education - Teachers and Instructors",="Certified",9.8,10.8,9.8,10.0,11.0
,="Brookside Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Columbus Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Cranbury Elementary School",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,3.5,3.5,4.0
,="Fox Run Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.7
,="Jefferson Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0,3.0,2.0,2.0,1.0
,="Kendall Elementary School",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,3.5,3.5,3.0
,="Marvin Elementary School",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,3.5,3.5,3.0
,="Naramake Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.3
,="Nathan Hale Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,5.0,5.3
,="Norwalk High School",="Special Education - Teachers and Instructors",="Certified",11.8,11.8,9.8,11.3,8.0
,="Norwalk Pathways Academy at Briggs",="Special Education - Teachers and Instructors",="Certified",1.5,1.5,1.5,2.0,2.0
,="Ponus Ridge Middle School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.0,7.0,6.0
,="Roton Middle School",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,3.5,3.5,3.0
,="Rowayton School",="Special Education - Teachers and Instructors",="Certified",7.0,5.0,5.0,5.0,4.0
,="Silvermine Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Tracey School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,4.0
,="West Rocks Middle School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,5.0
,="Wolfpit School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.0,3.0,3.5
="Norwich Free Academy District",="Norwich Free Academy",="Special Education - Teachers and Instructors",="Certified",20.0,20.0,23.0,22.0,21.0
="Norwich School District",="Deborah-Tennant Zinewicz School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,4.0,4.0,.
,"Hickory Street School","Special Education - Teachers and Instructors","Certified",3.0,3.0,3.0,3.0,.
,"John B. Stanton Network School","Special Education - Teachers and Instructors","Certified",2.5,2.0,2.0,2.0,2.0
,="Kelly Middle School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.0,6.0,7.0
,="Moriarty Magnet School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,2.0,2.0
,="Samuel Huntington School",="Special Education - Teachers and Instructors",="Certified",4.0,6.0,6.0,4.0,5.0
,="Teachers' Memorial Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,8.5,7.5,7.5,7.6
,="Thames River Academy",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,.,.,.
,"Thomas W. Mahan School","Special Education - Teachers and Instructors","Certified",4.0,4.2,5.2,4.2,3.2
,="Uncas Network School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,3.0,2.0
,="Veterans' Memorial School",="Special Education - Teachers and Instructors",="Certified",1.5,1.0,1.0,1.0,2.0
,="Wequonnoc Magnet School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,1.0,2.0
,="Bishop School Early Learning Center",="Special Education - Teachers and Instructors",="Certified",.,.,.,2.0,5.0
