"FTE Staffing Report for 2010-11"

"District","School","Assignment Category","Educator Type","FTE Count"
,="Farmington Valley Regional Diagnostic Center",="General Education - Teachers and Instructors",="Certified",0.4
,="Glastonbury/East Hartford Magnet School",="General Education - Teachers and Instructors",="Certified",16.9
,="Great Path Academy at MCC",="General Education - Teachers and Instructors",="Certified",20.0
,="Greater Hartford Academy of Math and Science",="General Education - Teachers and Instructors",="Certified",4.5
,="Greater Hartford Academy of the Arts High School - Full Time",="General Education - Teachers and Instructors",="Certified",21.8
,="International Magnet School for Global Citizenship",="General Education - Teachers and Instructors",="Certified",14.6
,="John J. Allison Polaris Center",="General Education - Teachers and Instructors",="Certified",6.0
,="Medical Professions and Teacher Preparation Academy",="General Education - Teachers and Instructors",="Certified",17.5
,="Metropolitan Learning Center for Global and International Studies",="General Education - Teachers and Instructors",="Certified",46.2
,="Montessori Magnet School",="General Education - Teachers and Instructors",="Certified",20.8
,="Public Safety Academy",="General Education - Teachers and Instructors",="Certified",22.4
,="Reggio Magnet School of the Arts",="General Education - Teachers and Instructors",="Certified",18.2
,="River Street Early Learning Center (Site 2)",="General Education - Teachers and Instructors",="Certified",1.0
,="River Street School",="General Education - Teachers and Instructors",="Certified",2.0
,="Two Rivers Magnet Middle School",="General Education - Teachers and Instructors",="Certified",49.0
,="University of Hartford Magnet School",="General Education - Teachers and Instructors",="Certified",27.0
="Chaplin School District",="Chaplin Elementary School",="General Education - Teachers and Instructors",="Certified",15.9
="Charter School for Young Children on Asylum Hill District",="Charter School for Young Children on Asylum Hill Inc.",="General Education - Teachers and Instructors",="Certified",12.9
="Cheshire School District",="Chapman School",="General Education - Teachers and Instructors",="Certified",19.7
,="Cheshire High School",="General Education - Teachers and Instructors",="Certified",91.2
,="Darcey School",="General Education - Teachers and Instructors",="Certified",11.0
,="Dodd Middle School",="General Education - Teachers and Instructors",="Certified",46.3
,="Doolittle School",="General Education - Teachers and Instructors",="Certified",28.1
,="Highland School",="General Education - Teachers and Instructors",="Certified",44.4
,="Humiston School",="General Education - Teachers and Instructors",="Certified",3.4
,="Norton School",="General Education - Teachers and Instructors",="Certified",26.8
="Chester School District",="Chester Elementary School",="General Education - Teachers and Instructors",="Certified",22.6
="Clinton School District",="Abraham Pierson School",="General Education - Teachers and Instructors",="Certified",17.3
,="Jared Eliot School",="General Education - Teachers and Instructors",="Certified",39.0
,="Lewin G. Joel Jr. School",="General Education - Teachers and Instructors",="Certified",41.0
,="The Morgan School",="General Education - Teachers and Instructors",="Certified",43.0
="Colchester School District",="Bacon Academy",="General Education - Teachers and Instructors",="Certified",71.6
,="Colchester Elementary School",="General Education - Teachers and Instructors",="Certified",34.0
