"Total Expenditures Used for Special Education, 2005-06"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
="Regional School District 16",1881947,654940,596693,267107,834524,76595,0,490975,18394,67,4821242
="Regional School District 17",2209226,767021,719600,153426,568193,43092,313,84658,20297,6661,4739916
="Regional School District 18",2148393,838995,664092,319317,940006,68689,3913,339777,23481,3923,5368085
="Regional School District 19",1039667,204928,233318,613686,800830,13416,441,276899,3613,589,3190608
="Ridgefield School District",4033259,1753787,1673032,596226,1776577,58759,0,616399,13979,10989,10551284
="Rocky Hill School District",1854119,940026,624032,128402,817866,13858,176,330593,7262,0,4727999
="Salem School District",383838,174521,101107,243990,440779,12470,11146,133693,0,0,1504734
="Salisbury School District",362244,90843,151585,46455,0,2565,876,28746,718,3604,688272
="Scotland School District",266137,38580,52854,47750,53288,3788,432,47945,0,0,510774
="Seymour School District",2223067,625931,622753,369614,575135,55200,7052,321425,4279,7956,4812496
="Sharon School District",238657,82154,112292,23606,81675,677,685,22474,561,2818,566096
="Shelton School District",5433304,1451119,1544955,371972,951983,87967,0,492700,67277,1361,10512138
="Sherman School District",490234,210539,159495,144711,482635,10935,658,96969,2909,1204,1600289
="Simsbury School District",4858740,2059057,1119833,221887,1635970,38900,0,672197,29094,6529,10642207
="Somers School District",1247933,486452,338627,195287,570997,9587,10028,339167,756,682,3199865
="South Windsor School District",2961313,1555167,930769,284055,2248663,37060,67539,930708,8047,10332,9050767
="Southington School District",5680870,2441389,2445689,1618661,3433708,150153,0,1412481,14568,11346,17208865
="Sprague School District",528054,176340,155024,151198,934760,9649,0,83469,10996,969,2061176
="Stafford School District",1803002,558686,413053,115868,841111,30056,15634,405545,1314,7485,4191754
="Stamford School District",16925883,4558242,4985084,2251192,5054716,420618,138241,4068133,45248,4811,38453353
="Sterling School District",510237,328967,195908,115313,421628,12554,6306,0,20161,210,1626575
="Stonington School District",2146957,977915,653662,259965,833486,26381,0,433106,29191,928,5361591
="Stratford School District",6808787,1321562,1921583,1028685,4039390,36261,30420,1081198,8153,185,16312332
="Suffield School District",1737897,825912,559483,214338,810755,37621,1402,91859,7475,1366,4288108
="Thomaston School District",1014423,306934,419519,241574,356919,21792,1962,249164,3223,4732,2622878
