"Chronic Absenteeism, Trend"
", All Students"

"",,"% Chronically Absent",,,,
"Scotland School District","=""1230011""",4.8,5.3,5.3,"*","*"
"Seymour School District","=""1240011""",7.7,11.7,9.1,6.3,8.6
"Sharon School District","=""1250011""",7.1,5.0,"*",3.4,5.1
"Shelton School District","=""1260011""",7.3,13.2,12.1,12.0,13.4
"Sherman School District","=""1270011""",5.9,7.1,7.0,6.8,5.8
"Side By Side Charter School District","=""2700013""",7.4,8.3,6.2,9.8,4.2
"Simsbury School District","=""1280011""",4.7,6.4,6.1,5.3,4.7
"Somers School District","=""1290011""",14.5,13.3,10.1,11.8,10.9
"South Windsor School District","=""1320011""",14.4,5.8,3.6,3.7,4.0
"Southington School District","=""1310011""",7.0,6.8,6.6,6.0,6.3
"Sprague School District","=""1330011""",8.0,8.3,8.3,11.8,8.3
"Stafford School District","=""1340011""",7.8,7.1,7.4,8.7,8.0
"Stamford Academy District","=""2820013""","*",97.3,"*",86.9,99.3
"Stamford Charter School for Excellence District","=""2960013""","N/A","N/A","N/A","N/A",8.2
"Stamford School District","=""1350011""",9.6,14.5,10.0,13.9,11.7
"Sterling School District","=""1360011""",8.2,5.1,6.9,7.0,8.6
"Stonington School District","=""1370011""",16.8,6.4,8.8,8.4,6.3
"Stratford School District","=""1380011""",9.3,12.5,11.3,10.3,11.8
"Suffield School District","=""1390011""",7.6,5.8,6.8,1.2,6.1
"The Bridge Academy District","=""2690013""",4.2,5.3,8.4,7.7,8.6
"The Gilbert School District","=""9020022""",12.9,14.9,15.8,23.5,4.9
"Thomaston School District","=""1400011""",5.9,6.7,5.5,6.8,7.0
"Thompson School District","=""1410011""",11.9,8.3,5.7,5.5,7.7
"Tolland School District","=""1420011""",5.8,5.7,3.4,4.4,4.9
"Torrington School District","=""1430011""",14.1,13.9,14.2,10.8,9.8
"Trailblazers Academy District","=""2780013""",6.5,"*",0.0,65.9,18.6
"Trumbull School District","=""1440011""",6.1,4.1,2.2,3.4,4.9
"Unified School District #1","=""3360015""",46.8,43.0,21.9,31.8,34.3
"Unified School District #2","=""3470015""",19.3,21.8,"*",3.3,9.1
"Union School District","=""1450011""",0.0,0.0,"*",7.8,"*"
"Vernon School District","=""1460011""",10.0,8.1,7.2,9.0,10.0
"Voluntown School District","=""1470011""",7.8,8.8,9.3,6.8,3.1
"Wallingford School District","=""1480011""",11.3,9.7,5.6,5.2,5.1
"Waterbury School District","=""1510011""",18.1,19.8,20.6,18.6,16.2
"Waterford School District","=""1520011""",7.1,7.5,5.8,5.9,5.7
"Watertown School District","=""1530011""",11.3,10.3,10.4,9.3,7.8
"West Hartford School District","=""1550011""",5.5,6.0,5.1,5.3,5.3
"West Haven School District","=""1560011""",14.4,16.6,14.8,16.3,11.4
"Westbrook School District","=""1540011""",5.3,7.2,5.0,3.7,4.4
"Weston School District","=""1570011""",11.1,7.8,5.5,5.9,4.1
"Westport School District","=""1580011""",2.0,2.5,2.8,1.8,2.5
"Wethersfield School District","=""1590011""",4.8,9.4,4.4,4.0,3.8
"Willington School District","=""1600011""",4.7,5.2,4.3,7.1,4.3
"Wilton School District","=""1610011""",15.5,16.8,13.5,4.2,4.5
"Winchester School District","=""1620011""",10.9,6.5,8.8,6.8,7.4
"Windham School District","=""1630011""",18.3,18.7,17.7,15.3,16.1
"Windsor Locks School District","=""1650011""",11.2,10.4,10.1,13.3,12.2
"Windsor School District","=""1640011""",7.9,8.8,10.8,7.9,8.7
"Wolcott School District","=""1660011""",3.5,3.2,3.5,3.9,3.2
"Woodbridge School District","=""1670011""",3.8,5.2,6.4,5.0,4.6
"Woodstock Academy District","=""9030022""",6.0,6.2,6.4,7.9,6.3
"Woodstock School District","=""1690011""",4.9,5.0,4.6,5.7,2.2

