"Overall Expenditures, 2011-12"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
"District","Instructional Staff and Services","Instructional Supplies and Equipment","Improvement of Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Maintenance","Transportation","Students Tuitioned Out","Other","Total Expenditures"
="Redding School District",15572604,284664,421757,221282,1929602,2113747,1233985,223613,8090,22009344
="Regional School District 01",5454298,309232,493112,808275,1073725,1244357,241964,428650,424228,10477841
="Regional School District 04",8142627,232411,292264,835550,2781408,1844124,610027,560944,87404,15386759
="Regional School District 05",20000092,486209,1144921,2266031,5485880,3953593,2246260,1971800,911320,38466106
="Regional School District 06",9297811,429552,583065,1030515,1886670,1965371,924099,304476,276061,16697620
="Regional School District 07",9533618,391421,237408,747469,1764759,2128025,1550328,1004776,436656,17794460
="Regional School District 08",13781430,192835,947409,1208606,1853464,2047674,1374197,1532783,347499,23285897
="Regional School District 09",12718108,418080,392924,135433,1633933,2060073,1109937,1462831,1611,19932930
="Regional School District 10",19578688,639961,2080362,2249260,3011394,3470543,2353452,1563478,0,34947138
="Regional School District 11",2517056,102011,108611,401279,1068290,794206,403926,822147,219292,6436818
="Regional School District 12",10810151,573827,879949,1639473,1900603,2330206,1472128,515455,416096,20537888
="Regional School District 13",18140085,349294,910469,2912443,3684780,3112111,1749030,541429,592201,31991842
="Regional School District 14",15558335,448721,1446904,2806773,2661924,2792270,1823989,1851439,773033,30163388
="Regional School District 15",33983105,616950,1206954,5327629,5743502,6745286,3782453,1833398,1366607,60605884
="Regional School District 16",18479859,482205,1780813,2236237,4100627,3138790,2297581,1171958,496562,34184632
="Regional School District 17",19893186,385292,600253,1891119,3882761,4680842,3461061,1295580,657346,36747440
="Regional School District 18",13236468,398980,1345598,2042347,3008866,3970651,1368772,1074316,562372,27008370
="Regional School District 19",10789483,482440,322354,1163076,2204956,1541963,1492576,1239481,769918,20006247
="Ridgefield School District",49129930,1187338,4408966,4016047,6960757,7918881,5000024,2565974,619527,81807444
="Rocky Hill School District",20712070,505176,1931980,2316479,2634852,3805641,1448186,1430847,0,34785231
="Salem School District",3842000,434417,44846,186708,1068955,824995,743420,600525,0,7745866
="Salisbury School District",3687346,75037,164602,297782,556701,908623,443294,28885,3025,6165295
="Scotland School District",1468158,118980,55474,164958,314546,200419,163727,0,28945,2515207
="Seymour School District",16585366,701803,892376,2075886,4431922,3906018,1504132,1194095,426555,31718153
="Sharon School District",2579982,72556,90139,337561,571033,475631,329273,325,12500,4469000
="Shelton School District",37544851,1203069,1701315,5802932,6855011,7338548,4388339,2154606,537400,67526071
="Sherman School District",4356976,37697,267750,52261,568581,544405,446637,255720,39631,6569658
="Side By Side Charter School District",1518223,103658,10827,389524,430269,267099,0,N/A,0,2719600
="Simsbury School District",39110333,1046282,3597449,4309406,5533937,6956176,2694190,2277330,582112,66107215
="Somers School District",12293218,416605,458475,1258037,1996162,1978490,1073600,1083470,274230,20832287
="South Windsor School District",37553423,1517630,2680096,4778301,6860078,6342693,3262640,3825344,1572865,68393070
="Southington School District",51948463,1027050,937456,6106261,8777888,7308193,3729612,4939424,789303,85563650
="Sprague School District",2983752,197910,37004,216277,743455,441760,501137,512703,0,5633998
="Stafford School District",14950022,381068,618217,1882906,2766252,2796530,2122824,1399903,70954,26988676
="Stamford Academy District",1181948,24770,0,589144,1107471,32744,36945,N/A,77190,3050212
="Stamford School District",148291943,3707215,13722262,16493423,29541228,21604459,12685666,11230982,0,257277178
="Sterling School District",3748943,196657,190606,171211,535307,506124,591403,1455556,30640,7426447
="Stonington School District",18961108,274592,1363038,2039168,2646078,3702499,2254998,2256530,444841,33942852
="Stratford School District",56106901,970199,3082865,9823374,9128701,9110858,4817786,6181509,1560094,100782287
="Suffield School District",19523315,617028,246596,2065851,4300506,2646746,1530538,1917020,18078,32865678
="The Bridge Academy District",1969466,68340,20228,238938,312342,241187,12325,N/A,93813,2956639
="Thomaston School District",8950588,306804,26981,717325,1842447,1557140,987422,816890,299456,15505053
="Thompson School District",8192928,152254,184911,1284229,2433300,1938107,1009001,1657793,302441,17154964
="Tolland School District",21901139,406094,1490154,1504294,3494127,3245755,2264817,2845893,70383,37222656
="Torrington School District",39798742,613630,1868003,3584479,5117514,6032800,4110388,5788932,509656,67424144
="Trailblazers Academy District",1584529,18019,0,530269,1841572,181150,13964,N/A,138494,4307997
="Trumbull School District",52636023,1540054,3071507,6990205,10429503,8977413,4998886,3752473,810903,93206967
="Union School District",632626,44427,4371,66297,197992,148128,217541,36190,0,1347572
="Vernon School District",28970267,601554,2431929,3334623,4128401,4573913,2841329,2735974,540757,50158747
="Voluntown School District",2543967,139676,102307,403603,639028,408279,372037,418909,44656,5072462
="Wallingford School District",53224134,584596,2342546,6004347,11278035,13051692,6226905,5510601,1375259,99598115
="Waterbury School District",144115715,4284587,32072142,13411180,22239927,20884674,11512229,6382181,9323033,264225668
="Waterford School District",26484299,1019991,473411,2816898,4205743,4578686,2455358,2430912,824338,45289636
="Watertown School District",22371245,741468,690663,2149391,4880456,4212279,2308834,1065211,46649,38466196
="West Hartford School District",79204187,1716382,7205649,9248778,16444869,12791447,6397331,6321803,1235280,140565726
="West Haven School District",47508182,1459088,2371226,3965576,5660217,14060883,4623835,7275244,1632475,88556726
="Westbrook School District",9435111,317357,306259,514825,1417369,1497146,616803,404397,403423,14912690
="Weston School District",26436642,429756,3602942,3001732,3653336,5292124,1750237,1290835,1100353,46557957
="Westport School District",59751667,2819538,3213548,8379975,10701604,10331589,4248033,3293057,1518737,104257748
="Wethersfield School District",30558862,2183419,1045755,3193809,4545201,4680597,2706301,3694303,650936,53259183
="Willington School District",4778034,219586,253097,444438,999825,658273,489675,231394,0,8074322
="Wilton School District",44028740,1177603,3155167,6892368,7271491,6285124,3711290,2201604,0,74723387
="Winchester School District",6687865,55955,238685,1424145,1660833,1021503,1300534,758046,0,13147566
="Windham School District",31245778,1459058,1333429,3308973,5032496,4203825,2889107,4675716,592038,54740420
="Windsor Locks School District",16462449,437120,1170707,1623732,2691623,3258230,1309599,1978849,431031,29363340
="Windsor School District",34250233,1330209,2437768,5103415,7369469,6130184,4003854,4651589,647536,65924257
="Wolcott School District",20968069,590253,662073,1185056,3364589,3827007,2029710,873047,726680,34226484
="Woodbridge School District",8260404,295336,40823,147841,1734873,1311292,564499,295202,0,12650270
="Woodstock School District",6908456,200618,174733,747468,891723,1048457,947566,415689,5065,11339775

