"Primary Disability (K-12), 2011-12"
"All Districts, Speech Language Impairment"

"",,"2011-12",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Plainfield School District","=""1090011""",47,1.9,15.6
"Plainville School District","=""1100011""",46,1.9,14.9
"Plymouth School District","=""1110011""",32,1.8,13.3
"Pomfret School District","=""1120011""",19,2.9,24.4
"Portland School District","=""1130011""",23,1.6,20.4
"Preston School District","=""1140011""",25,4.1,27.2
"Putnam School District","=""1160011""",36,3.0,21.4
"Redding School District","=""1170011""",45,3.9,30.4
"Regional School District 01","=""2010012""","*","*","*"
"Regional School District 04","=""2040012""",16,1.6,11.7
"Regional School District 05","=""2050012""",37,1.5,13.3
"Regional School District 06","=""2060012""",17,1.8,14.5
"Regional School District 07","=""2070012""",14,1.3,10.4
"Regional School District 08","=""2080012""",19,1.0,8.0
"Regional School District 09","=""2090012""",16,1.6,12.8
"Regional School District 10","=""2100012""",38,1.4,14.4
"Regional School District 11","=""2110012""","*","*","*"
"Regional School District 12","=""2120012""",21,2.4,16.3
"Regional School District 13","=""2130012""",62,3.1,22.6
"Regional School District 14","=""2140012""",44,2.5,21.4
"Regional School District 15","=""2150012""",90,2.1,17.8
"Regional School District 16","=""2160012""",47,1.9,18.8
"Regional School District 17","=""2170012""",42,1.8,13.5
"Regional School District 18","=""2180012""",30,2.1,19.6
"Regional School District 19","=""2190012""",10,0.9,5.6
"Ridgefield School District","=""1180011""",65,1.2,15.5
"Rocky Hill School District","=""1190011""",41,1.6,19.2
"Salem School District","=""1210011""","*","*","*"
"Salisbury School District","=""1220011""","*","*","*"
"Scotland School District","=""1230011""",12,10.1,52.2
"Seymour School District","=""1240011""",46,1.9,19.5
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",110,2.1,20.4
"Sherman School District","=""1270011""",15,2.7,21.7
"Simsbury School District","=""1280011""",86,1.8,15.6
"Somers School District","=""1290011""",39,2.4,23.8
"South Windsor School District","=""1320011""",74,1.7,14.4
"Southington School District","=""1310011""",134,2.0,18.6
"Sprague School District","=""1330011""",10,2.2,24.4
