"Six-Year Graduation Rates, Trend"
"All Districts, Special Education Status"

"",,"Graduates",,
"",,"Six-Year Graduation Rate by Year",,
"District","Special Education Status","2010-11","2011-12","2012-13"
"Plymouth School District","Non-Special Education",96.9,93.4,88.0
"Plymouth School District","Special Education",100.0,58.8,90.0
"Portland School District","Non-Special Education",85.2,94.0,87.2
"Portland School District","Special Education",88.9,85.7,85.7
"Putnam School District","Non-Special Education",94.6,91.5,92.2
"Putnam School District","Special Education",61.1,90.0,80.0
"Regional School District 01","Non-Special Education",86.9,96.5,92.8
"Regional School District 01","Special Education",87.5,88.5,91.7
"Regional School District 04","Non-Special Education",91.9,93.4,97.9
"Regional School District 04","Special Education",73.9,91.3,85.0
"Regional School District 05","Non-Special Education",94.3,97.7,97.2
"Regional School District 05","Special Education",92.7,95.6,95.1
"Regional School District 06","Non-Special Education",89.9,94.7,97.6
"Regional School District 06","Special Education",86.7,100.0,92.3
"Regional School District 07","Non-Special Education",98.9,98.8,98.2
"Regional School District 07","Special Education",84.0,80.6,84.6
"Regional School District 08","Non-Special Education",90.8,97.3,94.7
"Regional School District 08","Special Education",79.3,76.3,87.2
"Regional School District 09","Non-Special Education",100.0,99.5,98.6
"Regional School District 09","Special Education",89.2,88.0,86.2
"Regional School District 10","Non-Special Education",100.0,98.5,97.1
"Regional School District 10","Special Education",73.3,91.7,79.2
"Regional School District 11","Non-Special Education","*",96.8,90.3
"Regional School District 11","Special Education","*",100.0,76.9
"Regional School District 12","Non-Special Education",86.4,86.2,93.1
"Regional School District 12","Special Education",91.7,88.9,87.5
"Regional School District 13","Non-Special Education",95.2,98.3,98.4
"Regional School District 13","Special Education",86.7,95.7,72.7
"Regional School District 14","Non-Special Education",97.5,99.4,97.1
"Regional School District 14","Special Education",88.2,90.5,88.5
"Regional School District 15","Non-Special Education",95.4,97.2,98.5
"Regional School District 15","Special Education",89.7,93.2,91.8
"Regional School District 16","Non-Special Education",91.2,96.6,93.1
"Regional School District 16","Special Education",87.5,90.0,84.6
"Regional School District 17","Non-Special Education",94.9,95.7,99.3
"Regional School District 17","Special Education",90.9,88.0,89.7
"Regional School District 18","Non-Special Education",99.2,98.9,98.0
"Regional School District 18","Special Education",78.6,92.3,92.3
"Regional School District 19","Non-Special Education",89.9,93.4,97.0
"Regional School District 19","Special Education",78.4,91.5,75.0
"Ridgefield School District","Non-Special Education",98.4,99.5,99.7
"Ridgefield School District","Special Education",91.7,100.0,88.1
"Rocky Hill School District","Non-Special Education",92.3,95.7,95.4
"Rocky Hill School District","Special Education",100.0,90.9,87.0
"Seymour School District","Non-Special Education",88.2,92.7,89.6
"Seymour School District","Special Education",63.6,75.0,82.4
"Shelton School District","Non-Special Education",94.8,96.2,95.1
"Shelton School District","Special Education",67.9,70.0,74.1
"Simsbury School District","Non-Special Education",97.6,99.2,99.1
"Simsbury School District","Special Education",86.7,91.7,86.8
"Somers School District","Non-Special Education",98.5,98.5,98.5
"Somers School District","Special Education",84.6,100.0,93.3
"South Windsor School District","Non-Special Education",94.2,97.9,97.1
"South Windsor School District","Special Education",83.0,88.9,93.2
"Southington School District","Non-Special Education",96.3,97.2,96.0
"Southington School District","Special Education",86.9,91.0,90.6
"Stafford School District","Non-Special Education",87.7,89.6,92.3
"Stafford School District","Special Education",76.9,93.3,66.7
"Stamford Academy District","Non-Special Education","*",61.3,"*"
"Stamford Academy District","Special Education","*",84.6,"*"
"Stamford School District","Non-Special Education",90.2,90.5,92.2
"Stamford School District","Special Education",82.4,86.1,88.6
"Stonington School District","Non-Special Education",97.3,96.3,98.3
"Stonington School District","Special Education",78.6,85.0,82.1
"Stratford School District","Non-Special Education",93.0,92.0,95.5
"Stratford School District","Special Education",81.0,67.9,80.3
"Suffield School District","Non-Special Education",97.5,94.6,96.4
"Suffield School District","Special Education",100.0,77.3,87.0
"The Bridge Academy District","Non-Special Education","*","*","*"
"The Bridge Academy District","Special Education","*","*","*"
"The Gilbert School District","Non-Special Education","*","*",83.3
"The Gilbert School District","Special Education","*","*",77.8
"Thomaston School District","Non-Special Education",96.2,93.2,96.9
"Thomaston School District","Special Education",84.0,94.7,92.3
"Thompson School District","Non-Special Education","*",93.3,92.0
"Thompson School District","Special Education","*",58.3,100.0
