"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, High Needs (F/R, EL or SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","N",55,55,100.0,55,"*","*",0,0.0,"*","*","*","*","*","*","*","*",296
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","N",59,59,100.0,59,"*","*","*","*","*","*","*","*","*","*","*","*",290
"East Hampton School District","=""0420011""","Center School","=""0420311""","Y",31,28,90.3,28,"*","*","*","*",6,21.4,15,53.6,0,0.0,15,53.6,238
"East Hampton School District","=""0420011""","Center School","=""0420311""","N",103,102,99.0,102,0,0.0,"*","*","*","*",48,47.1,32,31.4,80,78.4,277
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Y",29,29,100.0,29,"*","*","*","*",8,27.6,"*","*","*","*","*","*",220
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","N",21,21,100.0,21,0,0.0,"*","*",7,33.3,"*","*","*","*","*","*",258
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","Y",28,28,100.0,28,"*","*","*","*","*","*","*","*",0,0.0,"*","*",224
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","Y",40,40,100.0,40,"*","*","*","*","*","*","*","*","*","*","*","*",224
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","Y",35,35,100.0,35,"*","*","*","*","*","*","*","*",0,0.0,"*","*",205
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","Y",53,53,100.0,53,"*","*","*","*",22,41.5,16,30.2,0,0.0,16,30.2,224
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","N",39,39,100.0,39,"*","*","*","*",13,33.3,19,48.7,"*","*","*","*",247
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Y",48,48,100.0,48,"*","*","*","*",11,22.9,6,12.5,"*","*","*","*",209
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","N",27,27,100.0,27,"*","*","*","*",11,40.7,12,44.4,0,0.0,12,44.4,238
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","Y",29,29,100.0,29,"*","*","*","*","*","*",14,48.3,"*","*","*","*",248
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","N",34,34,100.0,34,0,0.0,"*","*","*","*",17,50.0,"*","*","*","*",280
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","Y",41,41,100.0,41,"*","*","*","*","*","*","*","*","*","*","*","*",214
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Y",33,33,100.0,33,"*","*","*","*","*","*","*","*","*","*","*","*",232
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Y",35,35,100.0,35,"*","*","*","*","*","*","*","*","*","*","*","*",245
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Y",33,33,100.0,33,"*","*","*","*",8,24.2,12,36.4,"*","*","*","*",243
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","N",31,31,100.0,31,"*","*","*","*",7,22.6,16,51.6,"*","*","*","*",269
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","N",24,24,100.0,24,0,0.0,"*","*","*","*","*","*","*","*","*","*",269
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Y",48,48,100.0,48,"*","*","*","*",11,22.9,21,43.8,9,18.8,30,62.5,257
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","N",157,156,99.4,156,0,0.0,"*","*","*","*",73,46.8,65,41.7,138,88.5,293
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Y",43,43,100.0,43,"*","*","*","*","*","*",16,37.2,9,20.9,25,58.1,258
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","N",37,37,100.0,37,0,0.0,0,0.0,"*","*",17,45.9,"*","*","*","*",291
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","N",106,105,99.1,105,0,0.0,"*","*","*","*","*","*","*","*","*","*",295
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Y",44,44,100.0,44,6,13.6,"*","*",14,31.8,19,43.2,"*","*","*","*",240
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","N",173,173,100.0,173,0,0.0,"*","*",10,5.8,85,49.1,"*","*","*","*",292
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Y",57,57,100.0,57,"*","*","*","*","*","*","*","*",0,0.0,"*","*",210
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Y",55,55,100.0,55,"*","*",7,12.7,24,43.6,17,30.9,"*","*","*","*",239
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","N",58,58,100.0,58,0,0.0,"*","*",16,27.6,30,51.7,"*","*","*","*",259
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Y",65,65,100.0,65,"*","*","*","*",19,29.2,26,40.0,"*","*","*","*",245
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","N",76,76,100.0,76,"*","*","*","*",12,15.8,36,47.4,"*","*","*","*",277
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Y",67,67,100.0,67,6,9.0,"*","*",15,22.4,25,37.3,9,13.4,34,50.7,251
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","N",71,71,100.0,71,0,0.0,"*","*",8,11.3,44,62.0,18,25.4,62,87.3,281
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","N",47,47,100.0,47,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",301
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","N",60,58,96.7,58,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",292
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","N",48,48,100.0,48,"*","*","*","*","*","*","*","*","*","*","*","*",283
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Y",35,35,100.0,35,"*","*","*","*",11,31.4,10,28.6,"*","*","*","*",235
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","N",38,38,100.0,38,0,0.0,"*","*",9,23.7,16,42.1,"*","*","*","*",263
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","N",51,51,100.0,51,"*","*",0,0.0,"*","*","*","*","*","*","*","*",287
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","N",57,57,100.0,57,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",321
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","N",57,57,100.0,57,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",290
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","N",79,79,100.0,79,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",288
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","N",72,71,98.6,71,0,0.0,"*","*","*","*","*","*","*","*","*","*",279
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","N",42,42,100.0,42,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",295
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","N",82,82,100.0,82,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",309
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Y",69,69,100.0,69,"*","*","*","*",16,23.2,31,44.9,9,13.0,40,58.0,252
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","N",242,240,99.2,240,0,0.0,"*","*","*","*",89,37.1,143,59.6,232,96.7,310
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Y",20,20,100.0,20,"*","*","*","*","*","*",9,45.0,"*","*","*","*",255
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","N",63,63,100.0,63,0,0.0,"*","*","*","*",27,42.9,"*","*","*","*",298
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","N",34,34,100.0,34,0,0.0,0,0.0,0,0.0,"*","*","*","*","*","*",327
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","N",72,72,100.0,72,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",312
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","N",69,69,100.0,69,0,0.0,"*","*","*","*","*","*","*","*","*","*",296
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Y",29,29,100.0,29,"*","*","*","*","*","*",16,55.2,"*","*","*","*",241
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","N",39,39,100.0,39,0,0.0,"*","*","*","*",16,41.0,"*","*","*","*",280
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","N",81,80,98.8,80,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",309
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","N",48,48,100.0,48,0,0.0,"*","*",0,0.0,"*","*","*","*","*","*",309
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","N",46,46,100.0,46,0,0.0,"*","*","*","*","*","*","*","*","*","*",315
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","N",56,56,100.0,56,"*","*","*","*","*","*","*","*","*","*","*","*",277
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Y",28,27,96.4,27,"*","*","*","*","*","*",13,48.1,"*","*","*","*",240
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","N",27,27,100.0,27,0,0.0,"*","*","*","*",11,40.7,"*","*","*","*",284
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","N",65,65,100.0,65,"*","*","*","*","*","*","*","*","*","*","*","*",291
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Y",35,35,100.0,35,"*","*","*","*",7,20.0,12,34.3,"*","*","*","*",230
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","N",20,20,100.0,20,"*","*","*","*",6,30.0,6,30.0,"*","*","*","*",242
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","Y",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*","*","*",234
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","Y",20,20,100.0,20,0,0.0,"*","*","*","*",7,35.0,"*","*","*","*",255
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","N",56,56,100.0,56,0,0.0,0,0.0,0,0.0,"*","*","*","*",56,100.0,309
"Greenwich School District","=""0570011""","North Street School","=""0570811""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","North Street School","=""0570811""","N",50,49,98.0,49,0,0.0,"*","*",0,0.0,"*","*","*","*","*","*",296
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","N",69,69,100.0,69,0,0.0,"*","*","*","*","*","*","*","*","*","*",291
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","N",72,72,100.0,72,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",297
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","N","*","*","*","*",0,0.0,0,0.0,"*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","N",53,53,100.0,53,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",304
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","Y",62,62,100.0,62,"*","*",9,14.5,19,30.6,25,40.3,"*","*","*","*",246
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","N",62,62,100.0,62,0,0.0,0,0.0,6,9.7,35,56.5,21,33.9,56,90.3,289
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","N",23,23,100.0,23,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",292
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","Y",46,46,100.0,46,"*","*","*","*","*","*","*","*","*","*","*","*",240
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","Y",24,23,95.8,23,"*","*",0,0.0,"*","*","*","*",0,0.0,"*","*",250
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","N",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","N",24,24,100.0,24,0,0.0,"*","*","*","*","*","*","*","*","*","*",283
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","Y",23,23,100.0,23,"*","*","*","*","*","*",6,26.1,"*","*","*","*",236
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","N",29,29,100.0,29,0,0.0,"*","*","*","*",20,69.0,"*","*","*","*",270
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","Y",39,39,100.0,39,"*","*","*","*","*","*","*","*","*","*","*","*",244
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","N",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","Y",50,50,100.0,50,10,20.0,14,28.0,"*","*",12,24.0,"*","*","*","*",224
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","N",244,243,99.6,243,0,0.0,"*","*",33,13.6,140,57.6,"*","*","*","*",278
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Y",30,30,100.0,30,"*","*","*","*","*","*","*","*","*","*","*","*",209
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","N",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*","*","*",252
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Y","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Y",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","N",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Y",36,36,100.0,36,10,27.8,"*","*","*","*",10,27.8,"*","*","*","*",218
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","N",21,21,100.0,21,0,0.0,"*","*","*","*",7,33.3,"*","*","*","*",262
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","N",41,41,100.0,41,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",297
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Y",28,27,96.4,27,"*","*","*","*","*","*","*","*","*","*","*","*",217
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Y",22,22,100.0,22,"*","*","*","*",7,31.8,6,27.3,0,0.0,6,27.3,220
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","N",52,52,100.0,52,0,0.0,"*","*","*","*",32,61.5,12,23.1,44,84.6,279
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","N",38,38,100.0,38,0,0.0,"*","*","*","*","*","*","*","*","*","*",274
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""","Y",36,36,100.0,36,11,30.6,9,25.0,10,27.8,6,16.7,0,0.0,6,16.7,206
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Y",50,50,100.0,50,18,36.0,11,22.0,13,26.0,"*","*","*","*",8,16.0,205
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Y","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""","Y","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Y","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Y",72,71,98.6,71,23,32.4,18,25.4,21,29.6,9,12.7,0,0.0,9,12.7,205
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Y",68,68,100.0,68,"*","*","*","*","*","*","*","*","*","*","*","*",236
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","N",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Y","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Y",34,34,100.0,34,10,29.4,"*","*",11,32.4,9,26.5,"*","*","*","*",220
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Y","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Y",34,34,100.0,34,"*","*","*","*","*","*",17,50.0,"*","*","*","*",258
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","N",30,30,100.0,30,0,0.0,"*","*","*","*",17,56.7,"*","*","*","*",277
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Y","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Hartford School District","=""0640011""","West Middle School","=""0642111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
