"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, High Needs (F/R, EL or SWD)"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",25,23,92.0,23,12,52.2,6,26.1,"*","*","*","*",0,0.0,"*","*",187
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",286
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Y",39,39,100.0,39,"*","*",11,28.2,14,35.9,9,23.1,"*","*","*","*",230
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","N",234,234,100.0,234,0,0.0,"*","*",16,6.8,114,48.7,"*","*","*","*",290
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","N",37,35,94.6,35,0,0.0,"*","*","*","*","*","*","*","*","*","*",283
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Y",15,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","N",42,42,100.0,42,0,0.0,"*","*","*","*","*","*","*","*","*","*",277
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","N",67,67,100.0,67,"*","*","*","*","*","*","*","*","*","*","*","*",285
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Y",20,20,100.0,20,0,0.0,"*","*",7,35.0,6,30.0,"*","*","*","*",245
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","N",89,89,100.0,89,"*","*","*","*",16,18.0,53,59.6,"*","*","*","*",271
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","N",50,47,94.0,47,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",292
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Y",66,66,100.0,66,"*","*","*","*",15,22.7,25,37.9,16,24.2,41,62.1,260
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","N",147,146,99.3,146,0,0.0,"*","*","*","*",66,45.2,63,43.2,129,88.4,293
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Y",70,70,100.0,70,"*","*","*","*",24,34.3,18,25.7,0,0.0,18,25.7,220
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","N",54,54,100.0,54,"*","*",8,14.8,20,37.0,19,35.2,"*","*","*","*",241
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","N",51,50,98.0,50,"*","*",0,0.0,"*","*","*","*","*","*","*","*",289
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Y",79,79,100.0,79,"*","*",14,17.7,28,35.4,25,31.6,"*","*","*","*",237
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","N",144,143,99.3,143,"*","*",7,4.9,21,14.7,81,56.6,"*","*","*","*",274
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",74,73,98.6,73,"*","*","*","*","*","*","*","*","*","*","*","*",210
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Y",63,62,98.4,62,27,43.5,15,24.2,11,17.7,"*","*","*","*",9,14.5,200
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Y",42,42,100.0,42,"*","*",16,38.1,13,31.0,"*","*",0,0.0,"*","*",211
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Y",42,42,100.0,42,"*","*",11,26.2,7,16.7,15,35.7,"*","*","*","*",242
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Y",50,49,98.0,49,13,26.5,12,24.5,18,36.7,6,12.2,0,0.0,6,12.2,208
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Y",80,80,100.0,80,34,42.5,24,30.0,18,22.5,"*","*","*","*","*","*",194
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Y",34,33,97.1,33,10,30.3,"*","*",10,30.3,"*","*",0,0.0,"*","*",207
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Y",89,88,98.9,88,59,67.0,14,15.9,9,10.2,6,6.8,0,0.0,6,6.8,177
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Y",28,28,100.0,28,"*","*",7,25.0,11,39.3,"*","*","*","*","*","*",223
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Y",28,28,100.0,28,"*","*",9,32.1,8,28.6,"*","*",0,0.0,"*","*",211
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Y",40,40,100.0,40,"*","*",10,25.0,10,25.0,13,32.5,"*","*","*","*",228
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Y",129,129,100.0,129,60,46.5,27,20.9,25,19.4,"*","*","*","*",17,13.2,194
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Y",42,42,100.0,42,"*","*","*","*",14,33.3,18,42.9,"*","*","*","*",253
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Y",74,73,98.6,73,14,19.2,24,32.9,20,27.4,15,20.5,0,0.0,15,20.5,217
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Y",42,42,100.0,42,"*","*",15,35.7,11,26.2,12,28.6,"*","*","*","*",227
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Y",50,50,100.0,50,18,36.0,15,30.0,12,24.0,"*","*","*","*","*","*",202
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Y",78,77,98.7,77,27,35.1,20,26.0,20,26.0,"*","*","*","*",10,13.0,203
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Y",59,59,100.0,59,29,49.2,20,33.9,"*","*","*","*",0,0.0,"*","*",185
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Y",48,48,100.0,48,11,22.9,17,35.4,13,27.1,7,14.6,0,0.0,7,14.6,210
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Y",77,77,100.0,77,17,22.1,26,33.8,25,32.5,9,11.7,0,0.0,9,11.7,207
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Y",73,73,100.0,73,"*","*",17,23.3,26,35.6,23,31.5,"*","*","*","*",235
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Y",45,45,100.0,45,6,13.3,6,13.3,11,24.4,15,33.3,7,15.6,22,48.9,242
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Y",40,40,100.0,40,13,32.5,12,30.0,"*","*","*","*",0,0.0,"*","*",198
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Y",107,107,100.0,107,24,22.4,36,33.6,24,22.4,23,21.5,0,0.0,23,21.5,212
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Y",34,33,97.1,33,16,48.5,"*","*",9,27.3,"*","*",0,0.0,"*","*",194
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Y",66,65,98.5,65,22,33.8,18,27.7,17,26.2,"*","*","*","*",8,12.3,202
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Y",42,42,100.0,42,"*","*",11,26.2,13,31.0,10,23.8,"*","*","*","*",232
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Y",48,48,100.0,48,"*","*","*","*",15,31.3,24,50.0,"*","*","*","*",249
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Y",21,21,100.0,21,"*","*","*","*",8,38.1,"*","*",0,0.0,"*","*",218
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","N",46,46,100.0,46,0,0.0,"*","*",7,15.2,"*","*",9,19.6,"*","*",278
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Y",72,71,98.6,71,"*","*","*","*",12,16.9,26,36.6,8,11.3,34,47.9,244
