"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",131,127,96.9,127,37,29.1,26,20.5,20,15.7,37,29.1,7,5.5,44,34.6
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""",66,66,100.0,66,20,30.3,18,27.3,15,22.7,13,19.7,0,0.0,13,19.7
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",70,70,100.0,70,24,34.3,14,20.0,19,27.1,"*","*","*","*",13,18.6
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""",85,83,97.6,83,29,34.9,14,16.9,28,33.7,"*","*","*","*",12,14.5
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""",77,76,98.7,76,45,59.2,"*","*",15,19.7,"*","*",0,0.0,"*","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""",113,113,100.0,113,"*","*","*","*",16,14.2,55,48.7,29,25.7,84,74.3
"Hartford School District","=""0640011""","West Middle School","=""0642111""",74,71,95.9,71,29,40.8,13,18.3,20,28.2,"*","*","*","*",9,12.7
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",57,56,98.2,56,19,33.9,20,35.7,"*","*","*","*",0,0.0,"*","*"
"Hartford School District","=""0640011""","Burr School","=""0642311""",117,116,99.1,116,40,34.5,27,23.3,"*","*",24,20.7,"*","*","*","*"
"Hartford School District","=""0640011""","Clark School","=""0642411""",50,49,98.0,49,17,34.7,16,32.7,9,18.4,7,14.3,0,0.0,7,14.3
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""",78,78,100.0,78,"*","*","*","*",13,16.7,29,37.2,23,29.5,52,66.7
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",42,42,100.0,42,29,69.0,"*","*",6,14.3,"*","*",0,0.0,"*","*"
"Hartford School District","=""0640011""","Sanchez School","=""0643011""",52,51,98.1,51,12,23.5,"*","*",12,23.5,15,29.4,"*","*","*","*"
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",83,83,100.0,83,27,32.5,23,27.7,19,22.9,"*","*","*","*",14,16.9
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",61,61,100.0,61,12,19.7,"*","*",16,26.2,21,34.4,"*","*","*","*"
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""",38,37,97.4,37,9,24.3,"*","*",13,35.1,7,18.9,"*","*","*","*"
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",129,127,98.4,127,48,37.8,29,22.8,31,24.4,"*","*","*","*",19,15.0
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""",38,38,100.0,38,9,23.7,"*","*",9,23.7,8,21.1,"*","*","*","*"
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""",69,69,100.0,69,9,13.0,10,14.5,18,26.1,25,36.2,7,10.1,32,46.4
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""",47,47,100.0,47,"*","*","*","*",10,21.3,23,48.9,10,21.3,33,70.2
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""",6,0,"*",0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",304,303,99.7,303,57,18.8,41,13.5,74,24.4,93,30.7,38,12.5,131,43.2
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",62,50,80.6,50,23,46.0,10,20.0,14,28.0,"*","*","*","*","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",124,110,88.7,105,59,56.2,22,21.0,17,16.2,"*","*","*","*",7,6.7
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",220,219,99.5,219,53,24.2,42,19.2,61,27.9,50,22.8,13,5.9,63,28.8
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",198,196,99.0,196,32,16.3,20,10.2,63,32.1,56,28.6,25,12.8,81,41.3
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",113,103,91.2,102,22,21.6,24,23.5,24,23.5,18,17.6,14,13.7,32,31.4
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",113,108,95.6,108,"*","*","*","*",30,27.8,18,16.7,46,42.6,64,59.3
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",150,149,99.3,149,22,14.8,41,27.5,42,28.2,35,23.5,9,6.0,44,29.5
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",56,49,87.5,49,34,69.4,9,18.4,"*","*","*","*",0,0.0,"*","*"
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",76,66,86.8,65,42,64.6,14,21.5,"*","*","*","*",0,0.0,"*","*"
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",87,82,94.3,82,44,53.7,25,30.5,10,12.2,"*","*","*","*","*","*"
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",43,36,83.7,35,21,60.0,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",49,48,98.0,48,15,31.3,14,29.2,13,27.1,"*","*","*","*",6,12.5
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",61,61,100.0,61,"*","*",11,18.0,29,47.5,11,18.0,"*","*","*","*"
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""",10,6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","LC - Burns","=""0649611""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartland School District","=""0650011""","Hartland School","=""0650111""",38,38,100.0,38,"*","*",0,0.0,"*","*",15,39.5,15,39.5,30,78.9
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",97,97,100.0,97,32,33.0,20,20.6,27,27.8,"*","*","*","*",18,18.6
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",68,66,97.1,66,"*","*",14,21.2,9,13.6,29,43.9,"*","*","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",87,86,98.9,86,23,26.7,16,18.6,"*","*",31,36.0,"*","*","*","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",176,171,97.2,171,38,22.2,30,17.5,51,29.8,45,26.3,7,4.1,52,30.4
"Kent School District","=""0680011""","Kent Center School","=""0680111""",47,47,100.0,47,0,0.0,0,0.0,6,12.8,28,59.6,13,27.7,41,87.2
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",331,327,98.8,327,27,8.3,33,10.1,78,23.9,164,50.2,25,7.6,189,57.8
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",182,175,96.2,175,22,12.6,30,17.1,58,33.1,44,25.1,21,12.0,65,37.1
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",84,82,97.6,82,"*","*","*","*",13,15.9,46,56.1,15,18.3,61,74.4
"Learn","=""2450014""","LEARN Pathways Program","=""2450514""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Learn SAILS Middle School Program","=""2450814""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","LEARN SAILS Program at Salem","=""2451014""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""",48,48,100.0,48,18,37.5,"*","*",13,27.1,8,16.7,"*","*","*","*"
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",115,111,96.5,110,36,32.7,27,24.5,25,22.7,14,12.7,8,7.3,22,20.0
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",60,58,96.7,58,0,0.0,"*","*",17,29.3,"*","*",30,51.7,"*","*"
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",144,143,99.3,143,7,4.9,"*","*","*","*",80,55.9,22,15.4,102,71.3
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","*","*","*","*","*","*",8,8.6,28,30.1,"*","*","*","*","*","*"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""",61,61,100.0,61,0,0.0,6,9.8,8,13.1,27,44.3,20,32.8,47,77.0
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""",71,71,100.0,71,0,0.0,"*","*","*","*",33,46.5,25,35.2,58,81.7
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""",35,34,97.1,34,"*","*","*","*",7,20.6,15,44.1,9,26.5,24,70.6
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""",158,158,100.0,158,10,6.3,8,5.1,27,17.1,91,57.6,22,13.9,113,71.5
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",193,188,97.4,188,"*","*","*","*",53,28.2,41,21.8,76,40.4,117,62.2
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",86,86,100.0,86,"*","*","*","*",19,22.1,34,39.5,16,18.6,50,58.1
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""",68,68,100.0,68,0,0.0,"*","*","*","*",23,33.8,40,58.8,63,92.6
"Litchfield School District","=""0740011""","Litchfield Middle School","=""0746011""",89,89,100.0,89,"*","*","*","*",8,9.0,47,52.8,25,28.1,72,80.9
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","*","*","*","*","*","*","*","*",18,28.6,"*","*","*","*","*","*"
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""",204,196,96.1,196,"*","*","*","*",38,19.4,105,53.6,43,21.9,148,75.5
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""",278,267,96.0,267,"*","*","*","*",34,12.7,146,54.7,71,26.6,217,81.3
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",293,285,97.3,285,"*","*","*","*",60,21.1,84,29.5,121,42.5,205,71.9
"Manchester School District","=""0770011""","Bowers School","=""0770111""",71,69,97.2,69,10,14.5,14,20.3,18,26.1,16,23.2,11,15.9,27,39.1
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""",18,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Buckley School","=""0770311""",64,64,100.0,64,"*","*","*","*",11,17.2,30,46.9,13,20.3,43,67.2
"Manchester School District","=""0770011""","Highland Park School","=""0770411""",42,42,100.0,42,"*","*","*","*","*","*",25,59.5,6,14.3,31,73.8
"Manchester School District","=""0770011""","Keeney School","=""0770611""",49,49,100.0,49,9,18.4,"*","*",17,34.7,11,22.4,"*","*","*","*"
"Manchester School District","=""0770011""","New Horizons","=""0770711""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Robertson School","=""0771011""",44,44,100.0,44,"*","*",8,18.2,12,27.3,18,40.9,"*","*","*","*"
"Manchester School District","=""0770011""","Verplanck School","=""0771211""",58,58,100.0,58,"*","*",11,19.0,16,27.6,22,37.9,"*","*","*","*"
"Manchester School District","=""0770011""","Waddell School","=""0771311""",52,50,96.2,50,"*","*","*","*",11,22.0,21,42.0,7,14.0,28,56.0
"Manchester School District","=""0770011""","Washington School","=""0771411""",50,50,100.0,50,16,32.0,15,30.0,9,18.0,10,20.0,0,0.0,10,20.0
"Manchester School District","=""0770011""","Martin School","=""0771611""",38,38,100.0,38,"*","*",7,18.4,9,23.7,12,31.6,"*","*","*","*"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""",356,353,99.2,353,79,22.4,42,11.9,74,21.0,140,39.7,18,5.1,158,44.8
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",366,352,96.2,352,75,21.3,69,19.6,109,31.0,52,14.8,47,13.4,99,28.1
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""",277,274,98.9,274,9,3.3,11,4.0,32,11.7,118,43.1,104,38.0,222,81.0
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""",91,91,100.0,91,"*","*","*","*",10,11.0,40,44.0,34,37.4,74,81.3
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""",65,64,98.5,64,"*","*",10,15.6,18,28.1,28,43.8,"*","*","*","*"
"Meriden School District","=""0800011""","Hanover School","=""0800311""",74,74,100.0,74,22,29.7,"*","*",18,24.3,20,27.0,"*","*","*","*"
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""",96,95,99.0,95,17,17.9,19,20.0,20,21.1,32,33.7,7,7.4,39,41.1
"Meriden School District","=""0800011""","John Barry School","=""0800511""",67,66,98.5,66,21,31.8,19,28.8,16,24.2,10,15.2,0,0.0,10,15.2
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""",106,106,100.0,106,15,14.2,26,24.5,26,24.5,34,32.1,"*","*","*","*"
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""",62,62,100.0,62,"*","*",16,25.8,19,30.6,16,25.8,"*","*","*","*"
"Meriden School District","=""0800011""","STEP-Meriden School District","=""0800911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""",50,50,100.0,50,"*","*","*","*",9,18.0,24,48.0,12,24.0,36,72.0
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""",117,116,99.1,116,"*","*",26,22.4,39,33.6,36,31.0,"*","*","*","*"
"Meriden School District","=""0800011""","STEPS-Meriden School District","=""0801211""",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""",17,13,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Success Academy","=""0801411""",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""",247,242,98.0,242,52,21.5,34,14.0,49,20.2,94,38.8,13,5.4,107,44.2
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""",226,217,96.0,217,86,39.6,"*","*",43,19.8,45,20.7,"*","*","*","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",313,300,95.8,299,83,27.8,79,26.4,97,32.4,21,7.0,19,6.4,40,13.4
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",243,231,95.1,229,80,34.9,66,28.8,55,24.0,19,8.3,9,3.9,28,12.2
"Middletown School District","=""0830011""","Spencer School","=""0830111""",50,50,100.0,50,"*","*","*","*",16,32.0,23,46.0,"*","*","*","*"
"Middletown School District","=""0830011""","Bielefield School","=""0830211""",50,50,100.0,50,"*","*","*","*",12,24.0,19,38.0,7,14.0,26,52.0
"Middletown School District","=""0830011""","OASIS","=""0830311""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""",58,58,100.0,58,"*","*",13,22.4,9,15.5,25,43.1,"*","*","*","*"
"Middletown School District","=""0830011""","ICM - Lawrence","=""0830711""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""",26,26,100.0,26,7,26.9,7,26.9,6,23.1,6,23.1,0,0.0,6,23.1
"Middletown School District","=""0830011""","Snow School","=""0831111""",36,36,100.0,36,"*","*",7,19.4,11,30.6,11,30.6,"*","*","*","*"
"Middletown School District","=""0830011""","Moody School","=""0831211""",49,49,100.0,49,"*","*","*","*",12,24.5,17,34.7,11,22.4,28,57.1
"Middletown School District","=""0830011""","Lawrence School","=""0831311""",38,38,100.0,38,"*","*","*","*",7,18.4,13,34.2,9,23.7,22,57.9
"Middletown School District","=""0830011""","Wesley School","=""0831411""",42,42,100.0,42,"*","*",9,21.4,9,21.4,18,42.9,"*","*","*","*"
"Middletown School District","=""0830011""","Evening Program - MHS","=""0831611""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 1","=""0831811""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","ICM - Spencer","=""0832011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","STEM - Macdonough","=""0832111""",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""",306,306,100.0,306,55,18.0,41,13.4,63,20.6,123,40.2,24,7.8,147,48.0
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",288,285,99.0,285,39,13.7,44,15.4,100,35.1,47,16.5,55,19.3,102,35.8
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""",51,51,100.0,51,"*","*","*","*",12,23.5,23,45.1,10,19.6,33,64.7
"Milford School District","=""0840011""","The Academy","=""0840311""",12,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","Meadowside School","=""0840711""",48,47,97.9,47,"*","*","*","*","*","*",28,59.6,9,19.1,37,78.7
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""",62,62,100.0,62,0,0.0,"*","*","*","*",34,54.8,17,27.4,51,82.3
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""",42,42,100.0,42,"*","*","*","*",7,16.7,17,40.5,13,31.0,30,71.4
"Milford School District","=""0840011""","Live Oaks School","=""0841611""",46,46,100.0,46,"*","*","*","*",6,13.0,23,50.0,11,23.9,34,73.9
"Milford School District","=""0840011""","Mathewson School","=""0841711""",71,69,97.2,69,"*","*","*","*",9,13.0,36,52.2,16,23.2,52,75.4
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""",69,69,100.0,69,"*","*","*","*","*","*",36,52.2,24,34.8,60,87.0
"Milford School District","=""0840011""","J. F. Kennedy School","=""0841911""",67,67,100.0,67,0,0.0,"*","*","*","*",39,58.2,16,23.9,55,82.1
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""",159,159,100.0,159,"*","*","*","*",31,19.5,98,61.6,15,9.4,113,71.1
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""",174,168,96.6,168,7,4.2,19,11.3,26,15.5,92,54.8,24,14.3,116,69.0
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""",160,158,98.8,158,14,8.9,25,15.8,33,20.9,77,48.7,9,5.7,86,54.4
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",208,206,99.0,205,14,6.8,29,14.1,76,37.1,48,23.4,38,18.5,86,42.0
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",228,224,98.2,222,10,4.5,17,7.7,96,43.2,53,23.9,46,20.7,99,44.6
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""",54,54,100.0,54,"*","*","*","*","*","*",22,40.7,27,50.0,49,90.7
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""",81,81,100.0,81,"*","*",0,0.0,"*","*",37,45.7,37,45.7,74,91.4
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""",91,91,100.0,91,"*","*","*","*","*","*",38,41.8,44,48.4,82,90.1
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""",253,253,100.0,253,9,3.6,10,4.0,21,8.3,148,58.5,65,25.7,213,84.2
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",293,292,99.7,290,"*","*","*","*",54,18.6,77,26.6,150,51.7,227,78.3
"Montville School District","=""0860011""","Mohegan School","=""0860111""",67,67,100.0,67,0,0.0,8,11.9,17,25.4,32,47.8,10,14.9,42,62.7
"Montville School District","=""0860011""","Oakdale School","=""0860511""",54,54,100.0,54,"*","*","*","*",6,11.1,25,46.3,19,35.2,44,81.5
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""",63,63,100.0,63,0,0.0,8,12.7,13,20.6,32,50.8,10,15.9,42,66.7
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""",184,182,98.9,182,14,7.7,14,7.7,25,13.7,88,48.4,41,22.5,129,70.9
"Montville School District","=""0860011""","Montville High School","=""0866111""",181,178,98.3,178,10,5.6,10,5.6,56,31.5,41,23.0,61,34.3,102,57.3
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""",145,145,100.0,145,18,12.4,24,16.6,49,33.8,47,32.4,7,4.8,54,37.2
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""",156,156,100.0,156,"*","*",24,15.4,41,26.3,67,42.9,"*","*","*","*"
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""",334,332,99.4,332,49,14.8,55,16.6,59,17.8,142,42.8,27,8.1,169,50.9
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",287,278,96.9,277,37,13.4,63,22.7,106,38.3,39,14.1,32,11.6,71,25.6
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""",74,73,98.6,73,23,31.5,"*","*",22,30.1,18,24.7,"*","*","*","*"
"New Britain School District","=""0890011""","Hartford Detention Center","=""3480315""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""",74,72,97.3,72,26,36.1,19,26.4,13,18.1,"*","*","*","*",14,19.4
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Gaffney School","=""0890511""",54,54,100.0,54,13,24.1,13,24.1,"*","*",15,27.8,"*","*","*","*"
"New Britain School District","=""0890011""","Holmes School","=""0890611""",68,67,98.5,67,12,17.9,10,14.9,18,26.9,21,31.3,6,9.0,27,40.3
"New Britain School District","=""0890011""","Jefferson School","=""0890711""",66,65,98.5,65,"*","*",17,26.2,16,24.6,15,23.1,"*","*","*","*"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""",95,94,98.9,94,31,33.0,"*","*",25,26.6,20,21.3,"*","*","*","*"
"New Britain School District","=""0890011""","Northend School","=""0890911""",53,52,98.1,52,21,40.4,19,36.5,"*","*","*","*",0,0.0,"*","*"
"New Britain School District","=""0890011""","Behavior Support","=""0891011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",137,136,99.3,136,35,25.7,35,25.7,41,30.1,"*","*","*","*",25,18.4
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""",95,92,96.8,92,45,48.9,15,16.3,19,20.7,13,14.1,0,0.0,13,14.1
"New Britain School District","=""0890011""","Smith School","=""0891311""",104,104,100.0,104,34,32.7,14,13.5,34,32.7,21,20.2,"*","*","*","*"
"New Britain School District","=""0890011""","Vance School","=""0891511""",89,89,100.0,89,24,27.0,"*","*",23,25.8,20,22.5,"*","*","*","*"
"New Britain School District","=""0890011""","Steps","=""0891811""",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",228,227,99.6,227,83,36.6,"*","*",47,20.7,54,23.8,"*","*","*","*"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",247,245,99.2,245,132,53.9,38,15.5,39,15.9,36,14.7,0,0.0,36,14.7
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""",50,49,98.0,49,0,0.0,0,0.0,"*","*",38,77.6,"*","*","*","*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",518,481,92.9,475,183,38.5,113,23.8,113,23.8,44,9.3,22,4.6,66,13.9
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",14,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",19,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",644,642,99.7,642,"*","*","*","*",47,7.3,273,42.5,303,47.2,576,89.7
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",314,310,98.7,310,"*","*","*","*",56,18.1,85,27.4,162,52.3,247,79.7
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","*","*","*","*","*","*","*","*",35,23.6,68,45.9,"*","*","*","*"
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",195,192,98.5,192,"*","*",9,4.7,"*","*",90,46.9,59,30.7,149,77.6
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",217,216,99.5,216,"*","*",13,6.0,69,31.9,"*","*",71,32.9,"*","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",68,68,100.0,68,"*","*","*","*",14,20.6,34,50.0,17,25.0,51,75.0
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",99,99,100.0,99,26,26.3,22,22.2,17,17.2,22,22.2,12,12.1,34,34.3
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",106,106,100.0,106,20,18.9,20,18.9,24,22.6,35,33.0,"*","*","*","*"
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",80,80,100.0,80,28,35.0,16,20.0,"*","*",18,22.5,"*","*","*","*"
