"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",130,128,98.5,128,61,47.7,28,21.9,24,18.8,"*","*","*","*",15,11.7
"Bridgeport School District","=""0150011""","Read School","=""0152511""",168,164,97.6,164,77,47.0,36,22.0,30,18.3,"*","*","*","*",21,12.8
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",107,107,100.0,107,60,56.1,27,25.2,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""",15,12,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",106,106,100.0,106,33,31.1,32,30.2,26,24.5,15,14.2,0,0.0,15,14.2
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",155,155,100.0,155,44,28.4,44,28.4,39,25.2,"*","*","*","*",28,18.1
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",145,145,100.0,145,17,11.7,29,20.0,46,31.7,45,31.0,8,5.5,53,36.6
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",90,90,100.0,90,12,13.3,12,13.3,18,20.0,37,41.1,11,12.2,48,53.3
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",84,84,100.0,84,43,51.2,19,22.6,15,17.9,7,8.3,0,0.0,7,8.3
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",264,261,98.9,261,87,33.3,63,24.1,55,21.1,56,21.5,0,0.0,56,21.5
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",78,75,96.2,75,31,41.3,16,21.3,20,26.7,"*","*","*","*",8,10.7
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",167,166,99.4,166,72,43.4,40,24.1,34,20.5,"*","*","*","*",20,12.0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",92,92,100.0,92,11,12.0,17,18.5,21,22.8,35,38.0,8,8.7,43,46.7
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",96,96,100.0,96,6,6.3,8,8.3,28,29.2,48,50.0,6,6.3,54,56.3
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",248,225,90.7,217,134,61.8,52,24.0,26,12.0,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",427,382,89.5,376,121,32.2,81,21.5,102,27.1,46,12.2,26,6.9,72,19.1
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",260,169,65.0,141,78,55.3,30,21.3,26,18.4,"*","*","*","*",7,5.0
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*"
