"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, Free/Reduced Price Meal Eligibility (2-"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Y",15,12,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",248,225,90.7,217,134,61.8,52,24.0,26,12.0,"*","*","*","*","*","*",186
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Y",427,382,89.5,376,121,32.2,81,21.5,102,27.1,46,12.2,26,6.9,72,19.1,219
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Y",260,169,65.0,141,78,55.3,30,21.3,26,18.4,"*","*","*","*",7,5.0,192
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Y",95,93,97.9,93,18,19.4,17,18.3,40,43.0,10,10.8,8,8.6,18,19.4,228
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",158,156,98.7,156,9,5.8,12,7.7,67,42.9,39,25.0,29,18.6,68,43.6,258
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Y",98,92,93.9,92,15,16.3,16,17.4,30,32.6,16,17.4,15,16.3,31,33.7,243
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","N",189,185,97.9,185,8,4.3,12,6.5,57,30.8,50,27.0,58,31.4,108,58.4,274
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","N",203,200,98.5,200,0,0.0,"*","*","*","*","*","*","*","*","*","*",286
"Canton School District","=""0230011""","Canton High School","=""0236111""","Y",18,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","N",108,107,99.1,107,"*","*","*","*","*","*","*","*","*","*","*","*",300
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Y",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Y",56,54,96.4,52,"*","*","*","*","*","*",8,15.4,13,25.0,21,40.4,260
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","N",53,51,96.2,51,0,0.0,"*","*","*","*",8,15.7,36,70.6,44,86.3,316
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Y",59,58,98.3,58,"*","*",19,32.8,13,22.4,"*","*","*","*","*","*",204
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","N",20,20,100.0,20,"*","*",10,50.0,6,30.0,0,0.0,"*","*","*","*",221
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Y",51,50,98.0,50,"*","*",9,18.0,24,48.0,9,18.0,"*","*","*","*",241
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","N",55,53,96.4,53,"*","*",15,28.3,16,30.2,12,22.6,"*","*","*","*",246
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Y",66,59,89.4,59,"*","*",18,30.5,19,32.2,"*","*","*","*","*","*",214
