"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, Free/Reduced Price Meal Eligibility (2-"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Y",69,65,94.2,65,"*","*",7,10.8,38,58.5,12,18.5,"*","*","*","*",246
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","N",108,108,100.0,108,"*","*",10,9.3,39,36.1,33,30.6,"*","*","*","*",263
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Y",43,43,100.0,43,"*","*",8,18.6,16,37.2,10,23.3,"*","*","*","*",248
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","N",149,149,100.0,149,"*","*","*","*",50,33.6,53,35.6,38,25.5,91,61.1,271
"Explorations District","=""2720013""","Explorations","=""2726113""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Y",33,32,97.0,32,"*","*","*","*",13,40.6,9,28.1,"*","*","*","*",255
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","N",354,347,98.0,347,"*","*","*","*",84,24.2,107,30.8,"*","*","*","*",288
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Y",54,53,98.1,53,"*","*","*","*",17,32.1,14,26.4,13,24.5,27,50.9,264
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","N",319,315,98.7,315,"*","*","*","*",61,19.4,96,30.5,143,45.4,239,75.9,288
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Y",31,29,93.5,29,"*","*","*","*",13,44.8,"*","*",8,27.6,"*","*",254
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","N",260,258,99.2,258,"*","*","*","*",40,15.5,"*","*",137,53.1,"*","*",300
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Y",42,42,100.0,42,"*","*","*","*",19,45.2,7,16.7,9,21.4,16,38.1,257
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","N",436,433,99.3,433,"*","*","*","*",81,18.7,98,22.6,234,54.0,332,76.7,298
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","N",150,148,98.7,148,"*","*","*","*","*","*","*","*","*","*","*","*",305
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Y",88,88,100.0,87,10,11.5,8,9.2,40,46.0,18,20.7,11,12.6,29,33.3,248
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","N",512,509,99.4,509,6,1.2,14,2.8,81,15.9,119,23.4,289,56.8,408,80.2,300
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Y",50,49,98.0,49,"*","*",12,24.5,18,36.7,"*","*",8,16.3,"*","*",239
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","N",95,95,100.0,95,"*","*",8,8.4,31,32.6,"*","*",18,18.9,"*","*",261
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Y",98,84,85.7,84,11,13.1,19,22.6,34,40.5,13,15.5,7,8.3,20,23.8,235
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","N",154,151,98.1,151,6,4.0,9,6.0,52,34.4,30,19.9,54,35.8,84,55.6,277
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","N",272,272,100.0,272,"*","*","*","*","*","*","*","*","*","*","*","*",292
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Y",154,137,89.0,135,36,26.7,27,20.0,53,39.3,13,9.6,6,4.4,19,14.1,223
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","N",247,244,98.8,243,19,7.8,27,11.1,89,36.6,46,18.9,62,25.5,108,44.4,260
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Y",42,41,97.6,41,"*","*","*","*","*","*","*","*",0,0.0,"*","*",208
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Y",32,30,93.8,30,16,53.3,8,26.7,"*","*","*","*",0,0.0,"*","*",190
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""","Y",6,0,"*",0,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Y",63,62,98.4,62,"*","*","*","*",20,32.3,"*","*","*","*","*","*",225
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","N",33,33,100.0,33,"*","*","*","*",13,39.4,"*","*","*","*","*","*",269
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Y",55,44,80.0,44,"*","*","*","*","*","*","*","*",0,0.0,"*","*",193
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","N",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Y",107,94,87.9,89,"*","*","*","*","*","*","*","*","*","*","*","*",193
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","N",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Y",41,40,97.6,40,9,22.5,15,37.5,10,25.0,"*","*","*","*",6,15.0,220
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","N",55,55,100.0,55,8,14.5,7,12.7,24,43.6,"*","*","*","*",16,29.1,242
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Y",88,86,97.7,86,14,16.3,"*","*",33,38.4,16,18.6,"*","*","*","*",240
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","N",23,23,100.0,23,0,0.0,"*","*",10,43.5,6,26.1,"*","*","*","*",260
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Y",74,65,87.8,64,"*","*","*","*",13,20.3,10,15.6,"*","*","*","*",217
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","N",39,38,97.4,38,"*","*","*","*",11,28.9,8,21.1,"*","*","*","*",264
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Y",49,46,93.9,46,0,0.0,"*","*",21,45.7,9,19.6,"*","*","*","*",254
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","N",64,62,96.9,62,"*","*","*","*",9,14.5,9,14.5,38,61.3,47,75.8,299
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Y",29,29,100.0,29,"*","*",11,37.9,10,34.5,"*","*","*","*","*","*",227
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","N",30,30,100.0,30,"*","*",12,40.0,8,26.7,"*","*","*","*","*","*",229
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Y","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Y",64,55,85.9,55,"*","*","*","*","*","*","*","*",0,0.0,"*","*",184
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","N",12,11,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Y",78,74,94.9,74,"*","*","*","*","*","*","*","*","*","*","*","*",191
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","N",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Y",34,28,82.4,27,"*","*","*","*","*","*",0,0.0,0,0.0,0,0.0,182
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","N",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Y",38,37,97.4,37,"*","*","*","*","*","*","*","*",0,0.0,"*","*",206
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","N",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""","Y",39,39,100.0,39,"*","*","*","*",16,41.0,"*","*","*","*","*","*",236
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""","N",22,22,100.0,22,0,0.0,"*","*",13,59.1,"*","*","*","*","*","*",256
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""","Y",10,6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Y",14,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","Y",60,58,96.7,58,12,20.7,16,27.6,17,29.3,"*","*","*","*",13,22.4,227
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","N",122,117,95.9,117,"*","*",14,12.0,41,35.0,36,30.8,"*","*","*","*",251
"Learn","=""2450014""","LEARN Pathways Program","=""2450514""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Connecticut River Academy","=""2456014""","Y",72,70,97.2,69,30,43.5,20,29.0,15,21.7,"*","*","*","*","*","*",202
"Learn","=""2450014""","Connecticut River Academy","=""2456014""","N",43,41,95.3,41,6,14.6,7,17.1,10,24.4,"*","*","*","*","*","*",248
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","Y",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","N",40,40,100.0,40,0,0.0,"*","*","*","*","*","*","*","*","*","*",296
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","Y",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","N",81,81,100.0,81,"*","*","*","*","*","*","*","*","*","*","*","*",266
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","Y",41,41,100.0,41,"*","*","*","*",18,43.9,7,17.1,12,29.3,19,46.3,264
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","N",151,147,97.4,147,"*","*","*","*",35,23.8,34,23.1,64,43.5,98,66.7,286
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","N",281,273,97.2,273,"*","*","*","*","*","*","*","*","*","*","*","*",286
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","New Horizons","=""0770711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","Y",189,180,95.2,180,57,31.7,37,20.6,50,27.8,21,11.7,15,8.3,36,20.0,220
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","N",177,172,97.2,172,18,10.5,32,18.6,59,34.3,31,18.0,32,18.6,63,36.6,248
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Success Academy","=""0801411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Success Academy","=""0801411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","Y",188,176,93.6,175,66,37.7,57,32.6,44,25.1,"*","*","*","*",8,4.6,202
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","N",125,124,99.2,124,17,13.7,22,17.7,53,42.7,"*","*","*","*",32,25.8,241
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","Y",165,156,94.5,154,64,41.6,50,32.5,29,18.8,"*","*","*","*",11,7.1,199
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","N",78,75,96.2,75,16,21.3,16,21.3,26,34.7,"*","*","*","*",17,22.7,230
"Middletown School District","=""0830011""","Evening Program - MHS","=""0831611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 1","=""0831811""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 1","=""0831811""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","Y",109,106,97.2,106,20,18.9,25,23.6,39,36.8,13,12.3,9,8.5,22,20.8,228
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","N",179,179,100.0,179,19,10.6,19,10.6,61,34.1,34,19.0,46,25.7,80,44.7,259
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","The Academy","=""0840311""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","The Academy","=""0840311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","Y",55,54,98.2,54,"*","*",11,20.4,25,46.3,8,14.8,"*","*","*","*",231
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","N",153,152,99.3,151,"*","*",18,11.9,51,33.8,40,26.5,"*","*","*","*",265
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","Y",29,27,93.1,26,"*","*",8,30.8,10,38.5,"*","*","*","*","*","*",232
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","N",199,197,99.0,196,"*","*",9,4.6,86,43.9,"*","*","*","*","*","*",266
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Y",21,21,100.0,21,0,0.0,"*","*","*","*",6,28.6,8,38.1,14,66.7,282
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","N",272,271,99.6,269,"*","*","*","*",48,17.8,71,26.4,142,52.8,213,79.2,298
"Montville School District","=""0860011""","Montville High School","=""0866111""","Y",55,54,98.2,54,"*","*","*","*",23,42.6,11,20.4,11,20.4,22,40.7,258
"Montville School District","=""0860011""","Montville High School","=""0866111""","N",126,124,98.4,124,"*","*","*","*",33,26.6,30,24.2,50,40.3,80,64.5,282
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Y",128,122,95.3,122,22,18.0,33,27.0,42,34.4,16,13.1,9,7.4,25,20.5,227
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","N",159,156,98.1,155,15,9.7,30,19.4,64,41.3,23,14.8,23,14.8,46,29.7,242
"New Britain School District","=""0890011""","Hartford Detention Center","=""3480315""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Y",398,364,91.5,358,160,44.7,86,24.0,78,21.8,27,7.5,7,2.0,34,9.5,203
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","N",120,117,97.5,117,23,19.7,27,23.1,35,29.9,17,14.5,15,12.8,32,27.4,231
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","N",314,310,98.7,310,"*","*","*","*",56,18.1,85,27.4,162,52.3,247,79.7,296
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Y",23,23,100.0,23,"*","*",6,26.1,10,43.5,"*","*","*","*","*","*",237
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","N",194,193,99.5,193,"*","*",7,3.6,59,30.6,"*","*","*","*","*","*",281
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","Y",30,30,100.0,29,"*","*","*","*",6,20.7,8,27.6,6,20.7,14,48.3,254
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","N",59,59,100.0,59,"*","*","*","*",19,32.2,15,25.4,20,33.9,35,59.3,280
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Y",53,49,92.5,49,"*","*",17,34.7,15,30.6,"*","*",0,0.0,"*","*",210
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","N",49,47,95.9,47,9,19.1,13,27.7,16,34.0,"*","*","*","*","*","*",228
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","Y",192,154,80.2,146,60,41.1,34,23.3,39,26.7,6,4.1,7,4.8,13,8.9,206
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","N",180,146,81.1,142,44,31.0,25,17.6,39,27.5,13,9.2,21,14.8,34,23.9,225
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","Y",143,112,78.3,109,51,46.8,36,33.0,"*","*","*","*",0,0.0,"*","*",193
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","N",91,76,83.5,73,37,50.7,"*","*",18,24.7,0,0.0,"*","*","*","*",193
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","Y",116,115,99.1,115,"*","*",38,33.0,44,38.3,10,8.7,"*","*","*","*",227
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","N",56,55,98.2,54,"*","*",18,33.3,"*","*",10,18.5,12,22.2,22,40.7,246
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","Y",79,75,94.9,75,13,17.3,19,25.3,32,42.7,"*","*","*","*",11,14.7,227
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","N",89,88,98.9,87,"*","*",17,19.5,32,36.8,12,13.8,"*","*","*","*",245
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","Y",48,47,97.9,47,"*","*",13,27.7,11,23.4,"*","*","*","*","*","*",208
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","N",24,24,100.0,24,"*","*",8,33.3,9,37.5,"*","*",0,0.0,"*","*",218
"New Haven School District","=""0930011""","Sound School","=""0936711""","Y",40,38,95.0,37,"*","*","*","*",13,35.1,12,32.4,"*","*","*","*",250
"New Haven School District","=""0930011""","Sound School","=""0936711""","N",51,48,94.1,47,"*","*","*","*",11,23.4,22,46.8,"*","*","*","*",268
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","Y",30,28,93.3,28,"*","*",10,35.7,"*","*","*","*",0,0.0,"*","*",202
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","N",24,24,100.0,24,"*","*",6,25.0,"*","*","*","*","*","*","*","*",225
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Y",33,32,97.0,29,9,31.0,10,34.5,"*","*","*","*",0,0.0,"*","*",203
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","N",33,33,100.0,31,6,19.4,6,19.4,14,45.2,"*","*","*","*","*","*",228
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New London School District","=""0950011""","New London High School","=""0956111""","Y",160,147,91.9,145,41,28.3,"*","*",46,31.7,10,6.9,"*","*","*","*",215
"New London School District","=""0950011""","New London High School","=""0956111""","N",75,71,94.7,71,"*","*","*","*",19,26.8,14,19.7,22,31.0,36,50.7,256
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","Y",83,78,94.0,77,"*","*","*","*",26,33.8,19,24.7,12,15.6,31,40.3,248
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","N",278,265,95.3,265,"*","*","*","*",84,31.7,67,25.3,101,38.1,168,63.4,282
"Newington School District","=""0940011""","Newington High School","=""0946111""","Y",81,79,97.5,79,10,12.7,8,10.1,39,49.4,16,20.3,6,7.6,22,27.8,240
"Newington School District","=""0940011""","Newington High School","=""0946111""","N",216,216,100.0,216,12,5.6,21,9.7,69,31.9,54,25.0,60,27.8,114,52.8,266
"Newtown School District","=""0970011""","Newtown High School","=""0976111""","Y",24,24,100.0,24,"*","*","*","*",8,33.3,"*","*",7,29.2,"*","*",257
