"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Gender"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","M",45,45,100.0,45,6,13.3,"*","*",6,13.3,19,42.2,"*","*","*","*",246
"Danbury School District","=""0340011""","South Street School","=""0341011""","F",28,27,96.4,27,"*","*",9,33.3,"*","*",7,25.9,0,0.0,7,25.9,215
"Danbury School District","=""0340011""","South Street School","=""0341011""","M",30,30,100.0,30,"*","*",6,20.0,"*","*",10,33.3,"*","*","*","*",236
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","F",27,26,96.3,26,6,23.1,"*","*","*","*",9,34.6,"*","*","*","*",241
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","M",28,28,100.0,28,9,32.1,"*","*","*","*",10,35.7,"*","*","*","*",222
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","F",41,41,100.0,41,"*","*",8,19.5,10,24.4,18,43.9,"*","*","*","*",245
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","M",46,45,97.8,45,"*","*",10,22.2,10,22.2,15,33.3,"*","*","*","*",235
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","F",27,27,100.0,27,"*","*","*","*",7,25.9,7,25.9,0,0.0,7,25.9,213
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","M",37,37,100.0,37,"*","*",10,27.0,15,40.5,"*","*",0,0.0,"*","*",217
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","F",34,34,100.0,34,0,0.0,"*","*",9,26.5,16,47.1,"*","*","*","*",255
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","M",25,24,96.0,24,"*","*","*","*",10,41.7,7,29.2,"*","*","*","*",240
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","F",43,43,100.0,43,"*","*","*","*",13,30.2,13,30.2,"*","*","*","*",235
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","M",47,47,100.0,47,"*","*","*","*",11,23.4,18,38.3,"*","*","*","*",243
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","F",95,93,97.9,93,9,9.7,14,15.1,20,21.5,38,40.9,12,12.9,50,53.8,248
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","M",95,95,100.0,95,7,7.4,14,14.7,28,29.5,33,34.7,13,13.7,46,48.4,248
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","F",35,35,100.0,35,0,0.0,"*","*","*","*",18,51.4,"*","*","*","*",257
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","M",25,24,96.0,24,0,0.0,"*","*","*","*",10,41.7,"*","*","*","*",278
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","F",46,45,97.8,45,0,0.0,0,0.0,"*","*","*","*",28,62.2,"*","*",307
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","M",48,48,100.0,48,0,0.0,"*","*","*","*",19,39.6,19,39.6,38,79.2,284
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","F",32,32,100.0,32,0,0.0,"*","*","*","*",16,50.0,8,25.0,24,75.0,274
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","M",31,31,100.0,31,0,0.0,"*","*","*","*",14,45.2,11,35.5,25,80.6,279
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","F",34,34,100.0,34,0,0.0,0,0.0,"*","*","*","*",16,47.1,"*","*",293
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","M",26,26,100.0,26,0,0.0,"*","*","*","*",13,50.0,11,42.3,24,92.3,288
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","F",34,34,100.0,34,0,0.0,"*","*","*","*",15,44.1,15,44.1,30,88.2,294
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","M",33,33,100.0,33,"*","*","*","*","*","*",9,27.3,13,39.4,22,66.7,279
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","F",28,28,100.0,28,0,0.0,0,0.0,"*","*",16,57.1,"*","*","*","*",296
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","M",41,41,100.0,41,"*","*","*","*","*","*",21,51.2,10,24.4,31,75.6,272
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","F",23,23,100.0,23,0,0.0,"*","*","*","*",10,43.5,"*","*","*","*",294
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","M",20,20,100.0,20,0,0.0,0,0.0,"*","*",13,65.0,"*","*","*","*",269
"Derby School District","=""0370011""","Irving School","=""0370411""","F",26,26,100.0,26,"*","*","*","*","*","*",9,34.6,0,0.0,9,34.6,227
"Derby School District","=""0370011""","Irving School","=""0370411""","M",26,26,100.0,26,"*","*","*","*","*","*",12,46.2,"*","*","*","*",255
"Derby School District","=""0370011""","Bradley School","=""0370611""","F",25,25,100.0,25,"*","*","*","*",10,40.0,6,24.0,"*","*","*","*",231
"Derby School District","=""0370011""","Bradley School","=""0370611""","M",30,30,100.0,30,"*","*","*","*",9,30.0,12,40.0,"*","*","*","*",256
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","F",35,35,100.0,35,"*","*","*","*","*","*",11,31.4,16,45.7,27,77.1,286
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","M",38,38,100.0,38,"*","*","*","*","*","*",17,44.7,14,36.8,31,81.6,286
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","F",34,34,100.0,34,"*","*","*","*","*","*",16,47.1,12,35.3,28,82.4,279
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","M",34,34,100.0,34,0,0.0,0,0.0,"*","*",17,50.0,"*","*","*","*",294
"East Hampton School District","=""0420011""","Center School","=""0420311""","F",61,58,95.1,58,"*","*","*","*",8,13.8,26,44.8,19,32.8,45,77.6,276
"East Hampton School District","=""0420011""","Center School","=""0420311""","M",73,72,98.6,72,"*","*","*","*",12,16.7,37,51.4,13,18.1,50,69.4,263
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","F",29,29,100.0,29,"*","*","*","*",8,27.6,9,31.0,"*","*","*","*",236
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","M",21,21,100.0,21,"*","*","*","*",7,33.3,7,33.3,"*","*","*","*",235
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","F",23,23,100.0,23,"*","*","*","*","*","*","*","*",0,0.0,"*","*",225
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","M",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","F",28,28,100.0,28,"*","*","*","*",12,42.9,8,28.6,0,0.0,8,28.6,226
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","M",30,30,100.0,30,"*","*","*","*",6,20.0,7,23.3,"*","*","*","*",225
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","F",23,23,100.0,23,"*","*","*","*","*","*","*","*",0,0.0,"*","*",219
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","M",20,20,100.0,20,"*","*","*","*","*","*","*","*",0,0.0,"*","*",205
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","F",41,41,100.0,41,"*","*","*","*",13,31.7,19,46.3,0,0.0,19,46.3,235
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","M",51,51,100.0,51,"*","*","*","*",22,43.1,16,31.4,"*","*","*","*",233
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","F",36,36,100.0,36,"*","*","*","*",11,30.6,9,25.0,0,0.0,9,25.0,215
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","M",39,39,100.0,39,"*","*",13,33.3,11,28.2,9,23.1,"*","*","*","*",223
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","F",31,31,100.0,31,0,0.0,"*","*","*","*",16,51.6,"*","*","*","*",265
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","M",32,32,100.0,32,"*","*","*","*","*","*",15,46.9,"*","*","*","*",265
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","F",24,24,100.0,24,7,29.2,"*","*",9,37.5,"*","*","*","*","*","*",209
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","M",26,26,100.0,26,6,23.1,"*","*",11,42.3,"*","*","*","*","*","*",219
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","M",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","F",27,27,100.0,27,"*","*","*","*",10,37.0,8,29.6,"*","*","*","*",234
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","M",23,23,100.0,23,"*","*","*","*",7,30.4,9,39.1,"*","*","*","*",245
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","F",26,26,100.0,26,"*","*","*","*",10,38.5,13,50.0,"*","*","*","*",251
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","M",25,25,100.0,25,"*","*","*","*",9,36.0,11,44.0,"*","*","*","*",252
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","F",35,35,100.0,35,"*","*","*","*",7,20.0,15,42.9,"*","*","*","*",256
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","M",29,29,100.0,29,"*","*","*","*",8,27.6,13,44.8,"*","*","*","*",256
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","F",22,22,100.0,22,"*","*","*","*","*","*","*","*","*","*","*","*",254
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","F",107,106,99.1,106,0,0.0,"*","*","*","*",50,47.2,38,35.8,88,83.0,284
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","M",98,98,100.0,98,"*","*","*","*",13,13.3,44,44.9,36,36.7,80,81.6,285
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","F",36,36,100.0,36,0,0.0,"*","*","*","*",15,41.7,10,27.8,25,69.4,270
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","M",44,44,100.0,44,"*","*","*","*",8,18.2,18,40.9,14,31.8,32,72.7,276
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","F",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","M",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","F",63,63,100.0,63,"*","*","*","*","*","*",31,49.2,22,34.9,53,84.1,284
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","M",58,57,98.3,57,0,0.0,"*","*","*","*",23,40.4,29,50.9,52,91.2,296
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","F",104,104,100.0,104,"*","*","*","*",8,7.7,50,48.1,41,39.4,91,87.5,284
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","M",113,113,100.0,113,"*","*","*","*",16,14.2,54,47.8,38,33.6,92,81.4,280
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","F",38,38,100.0,38,"*","*",9,23.7,"*","*",9,23.7,0,0.0,9,23.7,218
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","M",31,31,100.0,31,11,35.5,"*","*","*","*",9,29.0,0,0.0,9,29.0,208
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","F",56,56,100.0,56,"*","*",7,12.5,20,35.7,22,39.3,"*","*","*","*",250
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","M",57,57,100.0,57,"*","*",6,10.5,20,35.1,25,43.9,"*","*","*","*",249
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","F",67,67,100.0,67,"*","*","*","*",18,26.9,29,43.3,11,16.4,40,59.7,255
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","M",74,74,100.0,74,"*","*","*","*",13,17.6,33,44.6,19,25.7,52,70.3,269
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","F",65,65,100.0,65,"*","*","*","*",9,13.8,32,49.2,14,21.5,46,70.8,268
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","M",73,73,100.0,73,"*","*","*","*",14,19.2,37,50.7,13,17.8,50,68.5,264
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","F",31,31,100.0,31,"*","*","*","*","*","*",15,48.4,12,38.7,27,87.1,288
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","M",25,25,100.0,25,"*","*",0,0.0,0,0.0,"*","*",12,48.0,"*","*",292
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","F",25,25,100.0,25,0,0.0,"*","*","*","*",14,56.0,"*","*","*","*",272
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","M",20,20,100.0,20,0,0.0,0,0.0,"*","*",9,45.0,"*","*","*","*",293
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","F",32,31,96.9,31,"*","*",0,0.0,"*","*",12,38.7,11,35.5,23,74.2,274
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","M",37,36,97.3,36,0,0.0,0,0.0,"*","*",18,50.0,"*","*","*","*",291
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","F",40,40,100.0,40,"*","*","*","*","*","*",20,50.0,"*","*","*","*",283
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","M",20,20,100.0,20,"*","*","*","*","*","*",12,60.0,"*","*","*","*",266
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","F",36,36,100.0,36,"*","*","*","*",11,30.6,11,30.6,"*","*","*","*",250
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","M",37,37,100.0,37,"*","*","*","*",9,24.3,15,40.5,"*","*","*","*",249
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","F",30,30,100.0,30,"*","*",0,0.0,"*","*",17,56.7,"*","*","*","*",266
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","M",36,36,100.0,36,0,0.0,"*","*","*","*",16,44.4,"*","*","*","*",279
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","F",36,36,100.0,36,0,0.0,0,0.0,"*","*","*","*",28,77.8,"*","*",319
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","M",27,27,100.0,27,0,0.0,0,0.0,0,0.0,9,33.3,18,66.7,27,100.0,316
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","F",30,30,100.0,30,0,0.0,0,0.0,6,20.0,16,53.3,8,26.7,24,80.0,283
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","M",41,41,100.0,41,0,0.0,"*","*",6,14.6,19,46.3,15,36.6,34,82.9,284
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","F",42,42,100.0,42,"*","*","*","*","*","*",23,54.8,10,23.8,33,78.6,270
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","M",50,50,100.0,50,0,0.0,"*","*","*","*",26,52.0,16,32.0,42,84.0,285
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","F",39,38,97.4,38,0,0.0,"*","*","*","*",16,42.1,13,34.2,29,76.3,273
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","M",42,42,100.0,42,"*","*","*","*",6,14.3,21,50.0,12,28.6,33,78.6,275
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","F",26,26,100.0,26,"*","*",0,0.0,"*","*",12,46.2,8,30.8,20,76.9,282
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","M",30,30,100.0,30,0,0.0,"*","*","*","*",11,36.7,15,50.0,26,86.7,291
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","F",45,45,100.0,45,"*","*",0,0.0,"*","*",15,33.3,27,60.0,42,93.3,306
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","M",45,45,100.0,45,"*","*","*","*","*","*",16,35.6,25,55.6,41,91.1,300
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","F",147,147,100.0,147,"*","*","*","*",12,8.2,55,37.4,74,50.3,129,87.8,297
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","M",164,162,98.8,162,"*","*","*","*",11,6.8,65,40.1,78,48.1,143,88.3,297
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","F",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","M",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","F",41,41,100.0,41,0,0.0,"*","*","*","*",19,46.3,15,36.6,34,82.9,284
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","M",42,42,100.0,42,"*","*","*","*","*","*",17,40.5,18,42.9,35,83.3,291
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","F",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","M",22,22,100.0,22,0,0.0,"*","*","*","*","*","*","*","*","*","*",311
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","F",41,41,100.0,41,0,0.0,0,0.0,"*","*","*","*",27,65.9,"*","*",315
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","M",37,37,100.0,37,0,0.0,0,0.0,"*","*","*","*",21,56.8,"*","*",305
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","F",40,40,100.0,40,0,0.0,"*","*","*","*",21,52.5,15,37.5,36,90.0,287
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","M",36,36,100.0,36,0,0.0,0,0.0,"*","*","*","*",17,47.2,"*","*",296
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","F",33,33,100.0,33,"*","*","*","*","*","*",11,33.3,10,30.3,21,63.6,259
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","M",35,35,100.0,35,0,0.0,"*","*","*","*",21,60.0,7,20.0,28,80.0,268
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","F",59,58,98.3,58,0,0.0,"*","*","*","*",21,36.2,34,58.6,55,94.8,304
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","M",36,36,100.0,36,0,0.0,0,0.0,"*","*","*","*",18,50.0,"*","*",299
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","F",31,31,100.0,31,0,0.0,"*","*","*","*",8,25.8,20,64.5,28,90.3,304
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","M",33,33,100.0,33,"*","*","*","*",0,0.0,17,51.5,13,39.4,30,90.9,292
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","F",30,30,100.0,30,0,0.0,"*","*","*","*",9,30.0,18,60.0,27,90.0,313
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","M",30,30,100.0,30,0,0.0,"*","*","*","*",12,40.0,15,50.0,27,90.0,301
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","F",39,39,100.0,39,"*","*","*","*","*","*",18,46.2,14,35.9,32,82.1,282
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","M",34,34,100.0,34,"*","*","*","*","*","*",15,44.1,7,20.6,22,64.7,262
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","F",29,28,96.6,28,"*","*","*","*","*","*",9,32.1,"*","*","*","*",259
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","M",26,26,100.0,26,"*","*",0,0.0,"*","*",15,57.7,"*","*","*","*",265
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","F",47,47,100.0,47,0,0.0,"*","*","*","*",24,51.1,20,42.6,44,93.6,292
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","M",32,32,100.0,32,"*","*","*","*","*","*",16,50.0,9,28.1,25,78.1,271
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","F",29,29,100.0,29,"*","*","*","*",7,24.1,11,37.9,"*","*","*","*",236
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","M",26,26,100.0,26,"*","*","*","*",6,23.1,7,26.9,"*","*","*","*",232
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","F",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","M",22,22,100.0,22,"*","*","*","*","*","*","*","*","*","*","*","*",246
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","F",42,42,100.0,42,0,0.0,"*","*","*","*",18,42.9,20,47.6,38,90.5,303
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","M",34,34,100.0,34,0,0.0,"*","*","*","*",13,38.2,15,44.1,28,82.4,285
"Greenwich School District","=""0570011""","North Street School","=""0570811""","F",31,30,96.8,30,0,0.0,"*","*",0,0.0,16,53.3,"*","*","*","*",290
"Greenwich School District","=""0570011""","North Street School","=""0570811""","M",27,27,100.0,27,0,0.0,"*","*","*","*",10,37.0,13,48.1,23,85.2,288
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","F",46,46,100.0,46,0,0.0,"*","*","*","*",26,56.5,12,26.1,38,82.6,277
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","M",34,34,100.0,34,"*","*",0,0.0,"*","*",11,32.4,19,55.9,30,88.2,298
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","F",34,34,100.0,34,0,0.0,0,0.0,"*","*",17,50.0,"*","*","*","*",292
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","M",48,48,100.0,48,0,0.0,"*","*","*","*",19,39.6,24,50.0,43,89.6,291
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","M",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","F",36,36,100.0,36,0,0.0,0,0.0,"*","*",18,50.0,"*","*","*","*",291
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","M",25,25,100.0,25,0,0.0,"*","*","*","*",6,24.0,16,64.0,22,88.0,308
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","F",65,65,100.0,65,"*","*","*","*",17,26.2,25,38.5,18,27.7,43,66.2,269
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","M",59,59,100.0,59,"*","*","*","*",8,13.6,35,59.3,9,15.3,44,74.6,266
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","F",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","M",22,22,100.0,22,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",282
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","F",29,29,100.0,29,"*","*","*","*","*","*",14,48.3,"*","*","*","*",249
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","M",34,34,100.0,34,"*","*","*","*","*","*",11,32.4,"*","*","*","*",258
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","F",24,24,100.0,24,"*","*",0,0.0,"*","*","*","*","*","*","*","*",259
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","M",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","M",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","F",20,20,100.0,20,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",294
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","M",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","F",25,25,100.0,25,"*","*","*","*",6,24.0,9,36.0,"*","*","*","*",252
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","M",27,27,100.0,27,"*","*","*","*",6,22.2,17,63.0,"*","*","*","*",257
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","F",25,25,100.0,25,"*","*","*","*","*","*",10,40.0,"*","*","*","*",252
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","M",27,27,100.0,27,"*","*","*","*","*","*",11,40.7,"*","*","*","*",248
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","F",146,145,99.3,145,"*","*","*","*",23,15.9,69,47.6,31,21.4,100,69.0,265
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","M",148,148,100.0,148,"*","*","*","*",19,12.8,83,56.1,38,25.7,121,81.8,273
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","F",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","M",32,32,100.0,32,"*","*","*","*","*","*","*","*","*","*","*","*",228
"Hamden School District","=""0620011""","Church Street School","=""0620211""","F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","M",20,20,100.0,20,"*","*","*","*","*","*","*","*",0,0.0,"*","*",202
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","F",16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","M",23,23,100.0,23,"*","*","*","*","*","*","*","*","*","*","*","*",249
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","F",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*","*","*",228
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","M",36,36,100.0,36,"*","*","*","*","*","*","*","*","*","*","*","*",238
