"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Gender"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","M",112,111,99.1,111,"*","*","*","*",31,27.9,53,47.7,13,11.7,66,59.5,258
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","F",49,49,100.0,49,12,24.5,12,24.5,12,24.5,"*","*","*","*",13,26.5,214
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","M",42,41,97.6,41,7,17.1,17,41.5,11,26.8,"*","*","*","*",6,14.6,214
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","F",32,32,100.0,32,13,40.6,7,21.9,"*","*","*","*",0,0.0,"*","*",200
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","M",31,30,96.8,30,14,46.7,8,26.7,"*","*","*","*","*","*","*","*",201
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","F",25,25,100.0,25,"*","*","*","*","*","*","*","*",0,0.0,"*","*",209
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","M",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","F",23,23,100.0,23,"*","*","*","*","*","*","*","*","*","*","*","*",230
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","M",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","F",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","M",30,30,100.0,30,"*","*","*","*","*","*","*","*",0,0.0,"*","*",205
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","F",39,39,100.0,39,15,38.5,15,38.5,7,17.9,"*","*","*","*","*","*",195
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","M",41,41,100.0,41,19,46.3,"*","*",11,26.8,"*","*",0,0.0,"*","*",194
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","F",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","M",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","F",52,51,98.1,51,33,64.7,"*","*","*","*","*","*",0,0.0,"*","*",176
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","M",37,37,100.0,37,26,70.3,"*","*","*","*","*","*",0,0.0,"*","*",178
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","F",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","M",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","F",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","M",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","F",20,20,100.0,20,"*","*","*","*","*","*",7,35.0,0,0.0,7,35.0,229
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","M",20,20,100.0,20,"*","*","*","*","*","*",6,30.0,"*","*","*","*",228
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","F",68,68,100.0,68,33,48.5,13,19.1,15,22.1,7,10.3,0,0.0,7,10.3,191
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","M",61,61,100.0,61,27,44.3,14,23.0,10,16.4,"*","*","*","*",10,16.4,198
