"Five-Year Graduation Rates, Trend"
"All Districts, Special Education Status"

"",,"Non-Graduates",,,,,,,
"",,"Five-Year Still Enrolled Rate by Year",,,,"Five-Year Other Rate by Year",,,
"District","Special Education Status","2010-11","2011-12","2012-13","2013-14","2010-11","2011-12","2012-13","2013-14"
"Unified School District #2","Special Education",27.3,50.0,54.5,36.4,"*","*","*","*"
"Vernon School District","Non-Special Education",13.8,11.4,11.3,9.8,"*","*","*","*"
"Vernon School District","Special Education",19.4,30.8,26.5,20.0,"*","*","*","*"
"Wallingford School District","Non-Special Education",8.3,4.1,4.1,4.8,"*","*","*","*"
"Wallingford School District","Special Education",10.6,17.4,15.5,10.1,"*","*","*","*"
"Waterbury School District","Non-Special Education",29.9,30.8,28.1,26.0,"*","*","*","*"
"Waterbury School District","Special Education",33.3,39.3,38.2,31.0,"*","*","*","*"
"Waterford School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Waterford School District","Special Education","*","*","*","*","*","*","*","*"
"Watertown School District","Non-Special Education",4.7,"*","*","*","*","*","*","*"
"Watertown School District","Special Education",29.0,"*","*","*","*","*","*","*"
"West Hartford School District","Non-Special Education",4.7,3.3,3.9,1.5,"*","*","*","*"
"West Hartford School District","Special Education",8.9,8.6,6.9,8.8,"*","*","*","*"
"West Haven School District","Non-Special Education",27.4,23.0,25.9,17.6,"*","*","*","*"
"West Haven School District","Special Education",25.6,31.3,20.0,28.3,"*","*","*","*"
"Westbrook School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Westbrook School District","Special Education","*","*","*","*","*","*","*","*"
"Weston School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Weston School District","Special Education","*","*","*","*","*","*","*","*"
"Westport School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Westport School District","Special Education","*","*","*","*","*","*","*","*"
"Wethersfield School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Wethersfield School District","Special Education","*","*","*","*","*","*","*","*"
"Wilton School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Wilton School District","Special Education","*","*","*","*","*","*","*","*"
"Windham School District","Non-Special Education",27.7,19.4,15.8,13.9,"*","*","*","*"
"Windham School District","Special Education",29.8,30.6,16.7,25.0,"*","*","*","*"
"Windsor Locks School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Windsor Locks School District","Special Education","*","*","*","*","*","*","*","*"
"Windsor School District","Non-Special Education","*",7.5,6.4,"*","*","*","*","*"
"Windsor School District","Special Education","*",20.0,19.6,"*","*","*","*","*"
"Wolcott School District","Non-Special Education","*","*","*","*","*","*","*","*"
"Wolcott School District","Special Education","*","*","*","*","*","*","*","*"
"Woodstock Academy District","Non-Special Education","*","*","*","*","*","*","*","*"
"Woodstock Academy District","Special Education","*","*","*","*","*","*","*","*"

